row_label_raw,row_label_full,col_0,MS số,Thuyết mAh,2017 VND,2016 VND,numeric__MS số,numeric__Thuyết mAh,numeric__2017 VND,numeric__2016 VND
Đođah thu băr hùng và cung cấp dịch vụ,Đođah thu băr hùng và cung cấp dịch vụ,Đođah thu băr hùng và cung cấp dịch vụ,01,27,22.645.635.566.720,15.985.569.775.389,1.0,27.0,22645635566720.0,15985569775389.0
Gió vốn hàng hóa,Gió vốn hàng hóa,Gió vốn hàng hóa,11,28,19.232.152.371.327,13.520.512.624.316,11.0,28.0,19232152371327.0,13520512624316.0
Lợi nhuận_class für băr hàng và cung cấp dịch vụ (20 = 01 - 11),Lợi nhuận_class für băr hàng và cung cấp dịch vụ (20 = 01 - 11),Lợi nhuận_class für băr hàng và cung cấp dịch vụ (20 = 01 - 11),20,,3.311.483.195.393,2.163.053.151.073,20.0,,3311483195393.0,2163053151073.0
Đođah thu hoạt động 25 chính,Đođah thu hoạt động 25 chính,Đođah thu hoạt động 25 chính,21,29,119.177.084.927,575.799.026.707,21.0,29.0,119177084927.0,575799026707.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,30,520.491.970.943,653.849.305.456,22.0,30.0,520491970943.0,653849305456.0
Zhông r$: Chi phí lại vay,Zhông r$: Chi phí lại vay,Zhông r$: Chi phí lại vay,23,,237.597.428.975,180.732.729.883,23.0,,237597428975.0,180732729883.0
Chi phí băr hàng,Chi phí băr hàng,Chi phí băr hàng,25,31,654.224.092.692,501.076.008.688,25.0,31.0,654224092692.0,501076008688.0
Chi phí quím lý doanh nghiệp,Chi phí quím lý doanh nghiệp,Chi phí quím lý doanh nghiệp,26,32,214.833.658.781,180.134.957.782,26.0,32.0,214833658781.0,180134957782.0
Lợi nhuận thuần từ hoạt động hành dọn体系 (30 = 20 + (21 - 22) - (25 + 26)),Lợi nhuận thuần từ hoạt động hành dọn体系 (30 = 20 + (21 - 22) - (25 + 26)),Lợi nhuận thuần từ hoạt động hành dọn体系 (30 = 20 + (21 - 22) - (25 + 26)),30,,2.041.110.587.004,1.605.802.915.854,30.0,,2041110587004.0,1605802915854.0
Yưn định khác,Yưn định khác,Yưn định khác,31,,3.742.377.818,18.117.113.003,31.0,,3742377818.0,18117113003.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,1.522.911.752,28.956.864,32.0,,1522911752.0,28956864.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,4.219.466.066,18.087.156.199,40.0,,4219466066.0,18087156199.0
Lợi nhuận kế forma trước thuế (50 = 30 + 40),Lợi nhuận kế forma trước thuế (50 = 30 + 40),Lợi nhuận kế forma trước thuế (50 = 30 + 40),50,,2.045.330.023.070,1.621.889.172.053,50.0,,2045330023070.0,1621889172053.0
Chi phí thuế TMDN lại hành,Chi phí thuế TMDN lại hành,Chi phí thuế TMDN lại hành,51,34,163.475.878.977,155.827.738.705,51.0,34.0,163475878977.0,155827738705.0
Chi phí thuế TMDN forma lại,Chi phí thuế TMDN forma lại,Chi phí thuế TMDN forma lại,52,34,65.074.981.322,50.912.671.620,52.0,34.0,65074981322.0,50912671620.0
Lợi nhuận san được TMDN (60 = 50 - 51 - 52),Lợi nhuận san được TMDN (60 = 50 - 51 - 52),Lợi nhuận san được TMDN (60 = 50 - 51 - 52),60,,-1.816.775.162.771,1.415.948.761.728,60.0,,-1816775162771.0,1415948761728.0
