row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2017VND > 64.969.047.604,Số phải nộptrong nămVND > 1.517.051.331.796,Số đã nộptrong nămVND > (612.781.648.093),Số đã cán trừtrong nămVND > (899.699.883.494),Phân loạijaiVND > -,31/12/2017VND > 69.538.847.813,numeric__1/1/2017VND > 64.969.047.604,numeric__Số phải nộptrong nămVND > 1.517.051.331.796,numeric__Số đã nộptrong nămVND > (612.781.648.093),numeric__Số đã cán trừtrong nămVND > (899.699.883.494),numeric__Phân loạijaiVND > -,numeric__31/12/2017VND > 69.538.847.813
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,16.856.693.763,265.218.018.551,(257.921.229.177),-,-,24.153.483.137,16856693763.0,265218018551.0,-257921229177.0,,,24153483137.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,71.426.557.278,(71.149.994.774),(276.562.504),-,-,,71426557278.0,-71149994774.0,-276562504.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,115.027.738.705,163.475.878.977,(317.032.958.814),-,38.529.341.132,-,115027738705.0,163475878977.0,-317032958814.0,,38529341132.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,3.302.957.379,(3.302.958.279),-,900,-,,3302957379.0,-3302958279.0,,900.0,
,,,196.853.480.072,2.020.474.743.981,(1.262.188.789.137),(899.976.445.998),38.529.342.032,93.692.330.950,196853480072.0,2020474743981.0,-1262188789137.0,-899976445998.0,38529342032.0,93692330950.0
(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,,,,,,
,,,,,1/1/2017VND,Số đã cán trừtrong nămVND,Phân loạijaiVND,31/12/2017VND,,,,,,
Thuế nhà thầu nước ngoài,(b) Thuế phải thu Nhà nước > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,,,56.853.527.447,(276.562.504),-,56.576.964.943,,,56853527447.0,-276562504.0,,56576964943.0
Thuế thu nhập doanh nghiệp,(b) Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,-,-,38.529.341.132,38.529.341.132,,,,,38529341132.0,38529341132.0
Các loại thuế khác,(b) Thuế phải thu Nhà nước > Các loại thuế khác,Các loại thuế khác,,,-,-,900,900,,,,,900.0,900.0
,,,,,56.853.527.447,(276.562.504),38.529.342.032,95.106.306.975,,,56853527447.0,-276562504.0,38529342032.0,95106306975.0
