row_label_raw,row_label_full,col_0,Địa chỉ,31/12/2017 > Tỷ lệ lợi ích,31/12/2017 > Tỷ lệ quyền biểu quyết,31/12/2017 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu VND,01/01/2017 > Tỷ lệ lợi ích,01/01/2017 > Tỷ lệ quyền biểu quyết,01/01/2017 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu VND,numeric__Địa chỉ,numeric__31/12/2017 > Tỷ lệ lợi ích,numeric__31/12/2017 > Tỷ lệ quyền biểu quyết,numeric__31/12/2017 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu VND,numeric__01/01/2017 > Tỷ lệ lợi ích,numeric__01/01/2017 > Tỷ lệ quyền biểu quyết,numeric__01/01/2017 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu VND
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,,,,,,
- Công ty Cổ phần Gang thép Cao Bằng,Đầu tư vào Công ty liên kết > - Công ty Cổ phần Gang thép Cao Bằng,- Công ty Cổ phần Gang thép Cao Bằng,Cao Bằng,"25,09%","25,09%",51.550.227.410,"25,09%","25,09%",52.387.432.195,,0.2509,0.2509,51550227410.0,0.2509,0.2509,52387432195.0
- Công ty Cổ phần Khoáng sản Tấn Phát,Đầu tư vào Công ty liên kết > - Công ty Cổ phần Khoáng sản Tấn Phát,- Công ty Cổ phần Khoáng sản Tấn Phát,Cao Bằng,"31,84%","31,84%",34.178.000.000,"28,76%","28,76%",28.216.000.000,,0.3184,0.3184,34178000000.0,0.2876,0.2876,28216000000.0
,,,,,,85.728.227.410,,,80.603.432.195,,,,85728227410.0,,,80603432195.0
