row_label_raw,row_label_full,col_0,Chung cư NàngHương,Chung cư Mỹ Đìnhplaza,Chung cư PCC1 HàĐông Complex,Cộng,numeric__Chung cư NàngHương,numeric__Chung cư Mỹ Đìnhplaza,numeric__Chung cư PCC1 HàĐông Complex,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,85.271.905.313,24.269.520.970,120.617.951.458,11076525175.0,85271905313.0,24269520970.0,120617951458.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.076.525.175,85.271.905.313,24.269.520.970,120.617.951.458,11076525175.0,85271905313.0,24269520970.0,120617951458.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.505.504.097,10.265.418.501,489.379.929,13.260.302.527,2505504097.0,10265418501.0,489379929.0,13260302527.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,398.779.182,3.729.164.227,970.780.835,5.098.724.244,398779182.0,3729164227.0,970780835.0,5098724244.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.904.283.279,13.994.582.728,1.460.160.764,18.359.026.771,2904283279.0,13994582728.0,1460160764.0,18359026771.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,8.571.021.078,75.006.486.812,23.780.141.041,107.357.648.931,8571021078.0,75006486812.0,23780141041.0,107357648931.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,8.172.241.896,71.277.322.585,22.809.360.206,102.258.924.687,8172241896.0,71277322585.0,22809360206.0,102258924687.0
