row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty TNHH MTVXây lắp điện 1 - Đại Mỗ,Công ty TNHH MTVXây lắp điện 1 - Đại Mỗ,Công ty TNHH MTVXây lắp điện 1 - Đại Mỗ,"Phố Chợ, Phường Đại Mỗ,Quận Nam Từ Liêm, thành phố Hà Nội",100%,100%,Xây lắp điện,,1.0,1.0,
Công ty TNHH MTVXây lắp điện 1 - Hà Nội,Công ty TNHH MTVXây lắp điện 1 - Hà Nội,Công ty TNHH MTVXây lắp điện 1 - Hà Nội,"Số 583 Km 9 đườngNguyễn Trãi, Văn Quán,Q. Hà Đông, Hà Nội",100%,100%,Xây lắp điện,,1.0,1.0,
Công ty TNHH MTVXây lắp điện I - Miền Nam,Công ty TNHH MTVXây lắp điện I - Miền Nam,Công ty TNHH MTVXây lắp điện I - Miền Nam,"Cao ốc An Khang, số 28Đường 19, Khu phố 5,Phường An Phú, Quận 2,Hồ Chí Minh",100%,100%,Xây lắp điện,,1.0,1.0,
Công ty TNHH MTVXây lắp điện 1 - Miền Bắc,Công ty TNHH MTVXây lắp điện 1 - Miền Bắc,Công ty TNHH MTVXây lắp điện 1 - Miền Bắc,"Phố Chợ, Phường Đại Mỗ,Quận Nam Từ Liêm, thành phố Hà Nội",100%,100%,Xây lắp điện,,1.0,1.0,
Công ty TNHH MTVXây lắp điện 1 - Mỹ Đình,Công ty TNHH MTVXây lắp điện 1 - Mỹ Đình,Công ty TNHH MTVXây lắp điện 1 - Mỹ Đình,"Số 138 Trần Bình, P. Mỹ Đình 2, Q Nam Từ Liêm,thành phố Hà Nội",100%,100%,Xây lắp điện,,1.0,1.0,
Công ty TNHH MTVXây lắp điện 1 - Từ Liêm,Công ty TNHH MTVXây lắp điện 1 - Từ Liêm,Công ty TNHH MTVXây lắp điện 1 - Từ Liêm,"Tổ 19, P. Xuân Phương,Q. Nam Từ Liêm, Hà Nội",100%,100%,Xây lắp điện,,1.0,1.0,
Công ty TNHH MTVXây lắp điện 1 - Hà Đông,Công ty TNHH MTVXây lắp điện 1 - Hà Đông,Công ty TNHH MTVXây lắp điện 1 - Hà Đông,"Thôn Văn La, phường PhúLa, quận Hà Đông, Hà Nội.",100%,100%,Xây lắp điện,,1.0,1.0,
Công ty TNHH MTVXây lắp điện 1 - Nàng Hương,Công ty TNHH MTVXây lắp điện 1 - Nàng Hương,Công ty TNHH MTVXây lắp điện 1 - Nàng Hương,"Số 583 Km 9 đườngNguyễn Trãi, Văn Quán,Q. Hà Đông, Hà Nội",100%,100%,Dịch vụ,,1.0,1.0,
Công ty TNHH MTVXây lắp điện 1 - Hoàng Mai,Công ty TNHH MTVXây lắp điện 1 - Hoàng Mai,Công ty TNHH MTVXây lắp điện 1 - Hoàng Mai,"Số 471, đường NguyễnTam Trinh, P. Hoàng VănThụ, Q. Hoàng Mai, Hà Nội",100%,100%,Xây lắp điện,,1.0,1.0,
Công ty TNHH MTVXây lắp điện 1 - Ninh Bình,Công ty TNHH MTVXây lắp điện 1 - Ninh Bình,Công ty TNHH MTVXây lắp điện 1 - Ninh Bình,"Phường Ninh Thành, TPNinh Bình, Tỉnh Nỉnh Bình",100%,100%,Xây lắp điện,,1.0,1.0,
Công ty TNHH Chế tạoCột thép Đông Anh,Công ty TNHH Chế tạoCột thép Đông Anh,Công ty TNHH Chế tạoCột thép Đông Anh,"Tổ 23, thị trấn Đông Anh,thành phố Hà Nội",90%,90%,"Sản xuất các loại cột thép mạ kẽm, kết cấu thép, phụ tùng phụ kiện có liên quan, dịch vụ về mạ; mua bán thép, kẽm, vật tư phục vụ sản xuất, chế tạo kết cấu thép; mua bán vật tư, thiết bị kỹ thuật điện",,0.9,0.9,
