row_label_raw,row_label_full,a) Tài sản thuế thu nhập hoãn lại,a) Tài sản thuế thu nhập hoãn lại_1,a) Tài sản thuế thu nhập hoãn lại_2,numeric__a) Tài sản thuế thu nhập hoãn lại_1,numeric__a) Tài sản thuế thu nhập hoãn lại_2
,,,31/12/2017,01/01/2017,,
,,,VND,VND,,
- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,2.308.100.000,-,2308100000.0,
- Tài sản thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,- Tài sản thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,- Tài sản thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,-,692.682.882,,692682882.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,2.308.100.000,692.682.882,2308100000.0,692682882.0
b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,,
,,,31/12/2017,01/01/2017,,
,,,VND,VND,,
- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,b) Thuế thu nhập hoãn lại phải trả > - Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,14.639.705.752,15.291.361.258,14639705752.0,15291361258.0
Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,14.639.705.752,15.291.361.258,14639705752.0,15291361258.0
