row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Điều chỉnh khác,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Điều chỉnh khác,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,105.162.495,10.208.799.917,61.379.662.592,59.569.699.278,105.162.495,-,12.018.763.231,105162495.0,10208799917.0,61379662592.0,59569699278.0,105162495.0,,12018763231.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",-,-,2.806.211.174,2.806.211.174,-,-,-,,,2806211174.0,2806211174.0,,,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,28.401.850,48.920.416.944,48.848.906.901,62.703.602.242,130.184.267,60.963.744,35.228.467.764,28401850.0,48920416944.0,48848906901.0,62703602242.0,130184267.0,60963744.0,35228467764.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,3.000.000,526.451.311,2.724.944.773,2.724.964.585,-,39.383.361,562.814.860,3000000.0,526451311.0,2724944773.0,2724964585.0,,39383361.0,562814860.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,486.609.488,18.260.689.343,17.364.191.323,-,-,1.383.107.508,,486609488.0,18260689343.0,17364191323.0,,,1383107508.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",109.815,45.653.532.099,5.432.328.557,51.095.381.837,-,9.630.996,-,109815.0,45653532099.0,5432328557.0,51095381837.0,,9630996.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,2.410.642.213,2.410.642.213,-,-,-,,,2410642213.0,2410642213.0,,,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,-,2.764.042.378,1.891.007.037,-,-,873.035.341,,,2764042378.0,1891007037.0,,,873035341.0
,,,136.674.160,105.795.809.759,144.627.427.931,200.565.699.689,235.346.762,109.978.101,50.066.188.704,136674160.0,105795809759.0,144627427931.0,200565699689.0,235346762.0,109978101.0,50066188704.0
