row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn","Thiết bị, dụng cụ quản lý",TSCĐ khác,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__TSCĐ khác,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,560.992.769.863,484.480.587.704,74.898.543.765,8.996.785.897,747.128.671,1.130.115.815.900,560992769863.0,484480587704.0,74898543765.0,8996785897.0,747128671.0,1130115815900.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,6.871.471.411,9.437.137.392,16.845.694.405,1.423.082.577,170.000.000,34.747.385.785,6871471411.0,9437137392.0,16845694405.0,1423082577.0,170000000.0,34747385785.0
- Đầu tư xây dựng cơ bản hoàn thành (*),Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành (*),- Đầu tư xây dựng cơ bản hoàn thành (*),1.028.536.228.534,814.334.859.231,61.487.250.622,-,-,1.904.358.338.387,1028536228534.0,814334859231.0,61487250622.0,,,1904358338387.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.209.077.458),(6.729.570.040),(794.390.564),-,(119.570.822),(12.852.608.884),-5209077458.0,-6729570040.0,-794390564.0,,-119570822.0,-12852608884.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.591.191.392.350,1.301.523.014.287,152.437.098.228,10.419.868.474,797.557.849,3.056.368.931.188,1591191392350.0,1301523014287.0,152437098228.0,10419868474.0,797557849.0,3056368931188.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,53.204.824.131,113.106.729.314,38.812.393.268,5.646.468.073,670.979.875,211.441.394.661,53204824131.0,113106729314.0,38812393268.0,5646468073.0,670979875.0,211441394661.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,38.075.608.939,53.418.277.251,9.673.976.071,987.369.195,82.332.503,102.237.563.959,38075608939.0,53418277251.0,9673976071.0,987369195.0,82332503.0,102237563959.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.209.077.458),(5.402.091.313),(778.632.981),-,(119.570.822),(11.509.372.574),-5209077458.0,-5402091313.0,-778632981.0,,-119570822.0,-11509372574.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,86.071.355.612,161.122.915.252,47.707.736.358,6.633.837.268,633.741.556,302.169.586.046,86071355612.0,161122915252.0,47707736358.0,6633837268.0,633741556.0,302169586046.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,507.787.945.732,371.373.858.390,36.086.150.497,3.350.317.824,76.148.796,918.674.421.239,507787945732.0,371373858390.0,36086150497.0,3350317824.0,76148796.0,918674421239.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.505.120.036.738,1.140.400.099.035,104.729.361.870,3.786.031.206,163.816.293,2.754.199.345.142,1505120036738.0,1140400099035.0,104729361870.0,3786031206.0,163816293.0,2754199345142.0
