row_label_raw,row_label_full,col_0,01/01/2017 > Giá trị,01/01/2017 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,31/12/2017 > Giá trị,31/12/2017 > Số có khả năng trả nợ,numeric__01/01/2017 > Giá trị,numeric__01/01/2017 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2017 > Giá trị,numeric__31/12/2017 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
- Vay ngắn hạn,a) Vay ngắn hạn > - Vay ngắn hạn,- Vay ngắn hạn,122.560.784.993,122.560.784.993,1.530.505.119.156,1.483.143.941.017,169.921.963.132,169.921.963.132,122560784993.0,122560784993.0,1530505119156.0,1483143941017.0,169921963132.0,169921963132.0
- Vay và nợ dài hạn đến hạn trả,a) Vay ngắn hạn > - Vay và nợ dài hạn đến hạn trả,- Vay và nợ dài hạn đến hạn trả,12.195.918.372,12.195.918.372,123.360.861.374,11.481.662.625,124.075.117.121,124.075.117.121,12195918372.0,12195918372.0,123360861374.0,11481662625.0,124075117121.0,124075117121.0
,,,134.756.703.365,134.756.703.365,1.653.865.980.530,1.494.625.603.642,293.997.080.253,293.997.080.253,134756703365.0,134756703365.0,1653865980530.0,1494625603642.0,293997080253.0,293997080253.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,
- Vay dài hạn,b) Vay dài hạn > - Vay dài hạn,- Vay dài hạn,993.344.704.482,993.344.704.482,669.341.659.688,11.481.662.625,1.651.204.701.545,1.651.204.701.545,993344704482.0,993344704482.0,669341659688.0,11481662625.0,1651204701545.0,1651204701545.0
,,,993.344.704.482,993.344.704.482,669.341.659.688,11.481.662.625,1.651.204.701.545,1.651.204.701.545,993344704482.0,993344704482.0,669341659688.0,11481662625.0,1651204701545.0,1651204701545.0
Khoản đến hạn trả trong vòng 12 tháng,b) Vay dài hạn > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(12.195.918.372),(12.195.918.372),(123.360.861.374),(11.481.662.625),(124.075.117.121),(124.075.117.121),-12195918372.0,-12195918372.0,-123360861374.0,-11481662625.0,-124075117121.0,-124075117121.0
Khoản đến hạn trả sau 12 tháng,b) Vay dài hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,981.148.786.110,981.148.786.110,,,1.527.129.584.424,1.527.129.584.424,981148786110.0,981148786110.0,,,1527129584424.0,1527129584424.0
