row_label_raw,row_label_full,Công ty Cổ phần Thủy điện Trung Thu,"Số nhà 157, Tổ dân phố 16 phường Tân Thanh, Điện Biên Phù",60%,60%_1,"Đầu tư xây dựng các nhà máy thủy điện vừa và nhỏ; Sản xuất và kinh doanh điện năng Đầu tư, kinh doanh bất động sản","numeric__Số nhà 157, Tổ dân phố 16 phường Tân Thanh, Điện Biên Phù",numeric__60%,numeric__60%_1,"numeric__Đầu tư xây dựng các nhà máy thủy điện vừa và nhỏ; Sản xuất và kinh doanh điện năng Đầu tư, kinh doanh bất động sản"
Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Thôn Đình Thôn - Mỹ đình 1 - Quận Nam từ liêm - Hà Nội,"99,39%","99,39%","Đầu tư xây dựng các nhà máy thủy điện vừa và nhỏ; Sản xuất và kinh doanh điện năng Đầu tư, kinh doanh bất động sản",,0.9939,0.9939,
Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,"Số 138 Trần Bình, P Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",51%,51%,Lắp đặt máy móc và thiết bị công nghiệp,,0.51,0.51,
Công ty Cổ phần Thủy điện Bảo Lâm,Công ty Cổ phần Thủy điện Bảo Lâm,Công ty Cổ phần Thủy điện Bảo Lâm,"Thôn Nà Pồng, Huyện Bảo Lâm, Tỉnh Cao Bằng","91,83%","91,83%","Tư vấn quản lý dự án thủy điện, quản lý sau đầu tư thủy điện.",,0.9183,0.9183,
Công ty CP Đầu tư Năng Lượng Miền Bắc (tên cũ: Công ty Cổ phần Đầu tư Thủy điện Cao Bằng),Công ty CP Đầu tư Năng Lượng Miền Bắc (tên cũ: Công ty Cổ phần Đầu tư Thủy điện Cao Bằng),Công ty CP Đầu tư Năng Lượng Miền Bắc (tên cũ: Công ty Cổ phần Đầu tư Thủy điện Cao Bằng),"Thôn Nà Pồng, Huyện Bảo Lâm, Tỉnh Cao Bằng",90%,90%,"Sản xuất điện, Tư vấn quản lý dự án thủy điện, quản lý sau đầu tư thủy điện.",,0.9,0.9,
Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,"Số 44 Phố Triều Khúc, P.Thanh Xuân Nam, Q.Thanh Xuân, Hà Nội","99,35%","99,35%",Đầu tư kinh doanh bất động sản,,0.9934999999999999,0.9934999999999999,
