row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất công nghiệp,Bắt động sản,Thủy điện,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất công nghiệp,numeric__Bắt động sản,numeric__Thủy điện,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.700.440.306.186,375.625.465.285,15.376.419.826,279.396.332.318,789.717.491.880,3.160.556.015.495,1700440306186.0,375625465285.0,15376419826.0,279396332318.0,789717491880.0,3160556015495.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.467.694.615.123,340.507.639.071,8.226.954.737,116.875.496.918,746.050.907.555,2.679.355.613.403,1467694615123.0,340507639071.0,8226954737.0,116875496918.0,746050907555.0,2679355613403.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,232.745.691.063,35.117.826.214,7.149.465.089,162.520.835.400,43.666.584.325,481.200.402.091,232745691063.0,35117826214.0,7149465089.0,162520835400.0,43666584325.0,481200402091.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,20.650.825.130,6.881.249.545,-,781.640.054.175,1.006.436.179,810.178.565.029,20650825130.0,6881249545.0,,781640054175.0,1006436179.0,810178565029.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.143.016.038.947,239.862.953.272,867.342.771.710,2.876.144.551.527,223.409.309.004,5.349.775.624.460,1143016038947.0,239862953272.0,867342771710.0,2876144551527.0,223409309004.0,5349775624460.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,861.688.511.720,,,,,,861688511720.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.143.016.038.947,239.862.953.272,867.342.771.710,2.876.144.551.527,223.409.309.004,6.211.464.136.180,1143016038947.0,239862953272.0,867342771710.0,2876144551527.0,223409309004.0,6211464136180.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,749.757.339.763,94.880.621.658,533.437.701.381,1.826.894.635.479,111.698.299.456,3.316.668.597.737,749757339763.0,94880621658.0,533437701381.0,1826894635479.0,111698299456.0,3316668597737.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,68.471.649.351,,,,,,68471649351.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,749.757.339.763,94.880.621.658,533.437.701.381,1.826.894.635.479,111.698.299.456,3.385.140.247.088,749757339763.0,94880621658.0,533437701381.0,1826894635479.0,111698299456.0,3385140247088.0
