row_label_raw,row_label_full,col_0,Địa chỉ,Số lượng cổ phần,Tỷ lệ lợi ích và biểu quyết,31/12/2017,31/12/2017_1,01/01/2017,01/01/2017_1,numeric__Địa chỉ,numeric__Số lượng cổ phần,numeric__Tỷ lệ lợi ích và biểu quyết,numeric__31/12/2017,numeric__31/12/2017_1,numeric__01/01/2017,numeric__01/01/2017_1
,,,Địa chỉ,Số lượng cổ phần,Tỷ lệ lợi ích và biểu quyết,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,,,,
,,,Địa chỉ,Số lượng cổ phần,Tỷ lệ lợi ích và biểu quyết,VND,VND,VND,VND,,,,,,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,,,,,
- Công ty Cổ phần Bê tông Ly tâm Vinaincon,Đầu tư vào đơn vị khác > - Công ty Cổ phần Bê tông Ly tâm Vinaincon,- Công ty Cổ phần Bê tông Ly tâm Vinaincon,Hải Dương,40.000,"10,00%",4.000.000.000,-,4.000.000.000,-,,40000.0,0.1,4000000000.0,,4000000000.0,
- Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (BIDV),Đầu tư vào đơn vị khác > - Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (BIDV),- Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (BIDV),Hà Nội,46.431,"0,00136%",821.770.000,-,821.770.000,-,,46431.0,1.36e-05,821770000.0,,821770000.0,
,,,,,,4.821.770.000,-,4.821.770.000,-,,,,4821770000.0,,4821770000.0,
