row_label_raw,row_label_full,STT,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,964.772.894.242,1.039.724.889.354,,300.0,,964772894242.0,1039724889354.0
I.,I.,I.,Nợ ngắn hạn,310,,141.954.239.095,222.818.681.400,,310.0,,141954239095.0,222818681400.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.13,2.872.844.461,6.700.119.519,,311.0,,2872844461.0,6700119519.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.14,14.365.733.510,35.035.798.468,,312.0,,14365733510.0,35035798468.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.15,28.588.599,1.705.891,,313.0,,28588599.0,1705891.0
4.,4.,4.,Phải trả người lao động,314,,635.359.495,68.085.474,,314.0,,635359495.0,68085474.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,V.16,-,24.440.577.507,,315.0,,,24440577507.0
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,V.18,7.271.436.396,7.271.234.135,,318.0,,7271436396.0,7271234135.0
9.,9.,9.,Phải trả ngắn hạn khác,319,V.17,113.811.033.278,149.301.160.406,,319.0,,113811033278.0,149301160406.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,V.12,2.500.000.000,-,,320.0,,2500000000.0,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,,469.243.356,-,,322.0,,469243356.0,
II.,II.,II.,Nợ dài hạn,330,,822.818.655.147,816.906.207.954,,330.0,,822818655147.0,816906207954.0
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,V.18,254.403.575.579,261.675.231.089,,336.0,,254403575579.0,261675231089.0
7.,7.,7.,Phải trả dài hạn khác,337,V.17,536.187.346.495,520.503.243.792,,337.0,,536187346495.0,520503243792.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,V.12,32.227.733.073,34.727.733.073,,338.0,,32227733073.0,34727733073.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,488.709.312.683,430.044.454.142,,400.0,,488709312683.0,430044454142.0
I.,I.,I.,Vốn chủ sở hữu,410,V.19,488.709.312.683,430.044.454.142,,410.0,,488709312683.0,430044454142.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.000.000.000.000,3.000.000.000.000,,411.0,,3000000000000.0,3000000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.000.000.000.000,3.000.000.000.000,,,,3000000000000.0,3000000000000.0
4.,4.,4.,Vốn khác của chủ sở hữu,414,,1.286.825.482,1.286.825.482,,414.0,,1286825482.0,1286825482.0
5.,5.,5.,Cổ phiếu quỹ,415,,(10.000),(10.000),,415.0,,-10000.0,-10000.0
8.,8.,8.,Quỹ đầu tư phát triển,418,,99.871.176.744,99.871.176.744,,418.0,,99871176744.0,99871176744.0
10.,10.,10.,Quỹ khác thuộc vốn chủ sở hữu,420,,10.830.443.286,10.830.443.286,,420.0,,10830443286.0,10830443286.0
11.,11.,11.,Lợi nhuận sau thuế chưa phân phối,421,,(2.623.279.122.829),(2.681.943.981.370),,421.0,,-2623279122829.0,-2681943981370.0
,,,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,(2.682.413.224.726),(2.705.406.149.149),,,,-2682413224726.0,-2705406149149.0
,,,Lợi nhuận sau thuế chưa phân phối năm nay,421b,,59.134.101.897,23.462.167.779,,,,59134101897.0,23462167779.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,1.453.482.206.925,1.469.769.343.496,,440.0,,1453482206925.0,1469769343496.0
