row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thựcnộp trongnăm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thựcnộp trongnăm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,1.086.218.583,-,-,-,1.086.218.583,-,1086218583.0,,,,1086218583.0,
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,-,1.705.891,539.516.312,512.633.604,-,28.588.599,,1705891.0,539516312.0,512633604.0,,28588599.0
"- Phí, lệ phí và các khoản khác","- Phí, lệ phí và các khoản khác","- Phí, lệ phí và các khoản khác",-,-,4.000.000,4.000.000,-,-,,,4000000.0,4000000.0,,
Cộng,Cộng,Cộng,1.086.218.583,1.705.891,543.516.312,516.633.604,1.086.218.583,28.588.599,1086218583.0,1705891.0,543516312.0,516633604.0,1086218583.0,28588599.0
16. Chi phí phải trả,16. Chi phí phải trả,16. Chi phí phải trả,16. Chi phí phải trả,16. Chi phí phải trả,16. Chi phí phải trả,16. Chi phí phải trả,16. Chi phí phải trả,16. Chi phí phải trả,,,,,,
,,,,Số cuối năm,Số cuối năm,Số đầu năm,,,,,,,,
a. Ngắn hạn,16. Chi phí phải trả > a. Ngắn hạn,a. Ngắn hạn,,-,-,24.440.577.507,,,,,,24440577507.0,,
- Chi phí lãi vay,16. Chi phí phải trả > - Chi phí lãi vay,- Chi phí lãi vay,,-,-,24.366.854.770,,,,,,24366854770.0,,
- Các khoản trích trước khác,16. Chi phí phải trả > - Các khoản trích trước khác,- Các khoản trích trước khác,,-,-,73.722.737,,,,,,73722737.0,,
b. Dài hạn,b. Dài hạn,b. Dài hạn,,-,-,-,,,,,,,,
Cộng,b. Dài hạn > Cộng,Cộng,,-,-,24.440.577.507,,,,,,24440577507.0,,
