row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,1.286.825.482,(10.000),99.871.176.744,10.830.443.286,(2.705.406.149.149),406.582.286.363,3000000000000.0,1286825482.0,-10000.0,99871176744.0,10830443286.0,-2705406149149.0,406582286363.0
Lãi/(Lỗ) trong năm trước,Lãi/(Lỗ) trong năm trước,Lãi/(Lỗ) trong năm trước,-,-,-,-,-,23.462.167.779,23.462.167.779,,,,,,23462167779.0,23462167779.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,,,,,,,
Giảm vốn trong năm trước,Giảm vốn trong năm trước,Giảm vốn trong năm trước,-,-,-,-,-,-,-,,,,,,,
Phân phối lợi nhuận năm trước,Phân phối lợi nhuận năm trước,Phân phối lợi nhuận năm trước,-,-,-,-,-,-,-,,,,,,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,-,,,,,,,
Số dư cuối năm trước,Giảm khác > Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,1.286.825.482,(10.000),99.871.176.744,10.830.443.286,(2.681.943.981.370),430.044.454.142,3000000000000.0,1286825482.0,-10000.0,99871176744.0,10830443286.0,-2681943981370.0,430044454142.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,,,,,,,,,,,,,,
Lãi/(Lỗ) trong năm,Số dư đầu năm nay > Lãi/(Lỗ) trong năm,Lãi/(Lỗ) trong năm,-,-,-,-,-,59.134.101.897,59.134.101.897,,,,,,59134101897.0,59134101897.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,,,,,,,
Giảm vốn trong năm,Giảm vốn trong năm,Giảm vốn trong năm,-,-,-,-,-,-,-,,,,,,,
Phân phối lợi nhuận (a),Giảm vốn trong năm > Phân phối lợi nhuận (a),Phân phối lợi nhuận (a),-,-,-,-,-,(469.243.356),(469.243.356),,,,,,-469243356.0,-469243356.0
Giảm khác,Giảm khác,Giảm khác,-,,-,-,-,-,-,,,,,,,
Số dư cuối năm,Giảm khác > Số dư cuối năm,Số dư cuối năm,3.000.000.000.000,1.286.825.482,(10.000),99.871.176.744,10.830.443.286,(2.623.279.122.829),488.709.312.683,3000000000000.0,1286825482.0,-10000.0,99871176744.0,10830443286.0,-2623279122829.0,488709312683.0
