row_label_raw,row_label_full,Khoản mục,"Phương tiện vântải, truyền dẫn",Thiết bị dụng cụquản lý,Tổng cộng,"numeric__Phương tiện vântải, truyền dẫn",numeric__Thiết bị dụng cụquản lý,numeric__Tổng cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,
Số dư đầu năm,I. Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.265.781.818,113.430.000,1.379.211.818,1265781818.0,113430000.0,1379211818.0
Số dư cuối năm,I. Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.265.781.818,113.430.000,1.379.211.818,1265781818.0,113430000.0,1379211818.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,II. Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,1.265.781.818,111.200.419,1.376.982.237,1265781818.0,111200419.0,1376982237.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,-,2.229.581,2.229.581,,2229581.0,2229581.0
Số dư cuối năm,II. Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.265.781.818,113.430.000,1.379.211.818,1265781818.0,113430000.0,1379211818.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,-,2.229.581,2.229.581,,2229581.0,2229581.0
2. Tại ngày cuối năm,2. Tại ngày cuối năm,2. Tại ngày cuối năm,-,-,-,,,
