row_label_raw,row_label_full,Tên đối tượng,Năm xử lý,Số cuối năm,Đơn vị tính: VND,numeric__Năm xử lý,numeric__Số cuối năm,numeric__Đơn vị tính: VND
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,1.143.933.229.981,1.154.283.169.169,,1143933229981.0,1154283169169.0
Công ty CP TM & Đầu tư Mạnh Hà,Công ty CP TM & Đầu tư Mạnh Hà,Công ty CP TM & Đầu tư Mạnh Hà,2021,480.782.169.169,480.782.169.169,2021.0,480782169169.0,480782169169.0
Công ty CP Đầu tư và Thương mại Vneco Hà Nội,Công ty CP Đầu tư và Thương mại Vneco Hà Nội,Công ty CP Đầu tư và Thương mại Vneco Hà Nội,2021,370.150.060.812,380.500.000.000,2021.0,370150060812.0,380500000000.0
Công ty TNHH Gió Hát,Công ty TNHH Gió Hát,Công ty TNHH Gió Hát,2021,199.001.000.000,199.001.000.000,2021.0,199001000000.0,199001000000.0
Công ty CP Bảo Linh,Công ty CP Bảo Linh,Công ty CP Bảo Linh,2021,75.000.000.000,75.000.000.000,2021.0,75000000000.0,75000000000.0
Công ty CP Đầu tư Phát triển Phú Nguyên,Công ty CP Đầu tư Phát triển Phú Nguyên,Công ty CP Đầu tư Phát triển Phú Nguyên,2021,19.000.000.000,19.000.000.000,2021.0,19000000000.0,19000000000.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,81.273.856.974,81.733.555.661,,81273856974.0,81733555661.0
Công ty CP Robot Tosy,Công ty CP Robot Tosy,Công ty CP Robot Tosy,2021,27.823.311.313,28.283.010.000,2021.0,27823311313.0,28283010000.0
Công ty CP Đầu tư và Xây dựng Sông Đà,Công ty CP Đầu tư và Xây dựng Sông Đà,Công ty CP Đầu tư và Xây dựng Sông Đà,2021,20.635.963.722,20.635.963.722,2021.0,20635963722.0,20635963722.0
Công ty TNHH TMDV & SX Phi Kha Miền Bắc,Công ty TNHH TMDV & SX Phi Kha Miền Bắc,Công ty TNHH TMDV & SX Phi Kha Miền Bắc,2021,5.344.267.999,5.344.267.999,2021.0,5344267999.0,5344267999.0
Công ty CP Vinafacade,Công ty CP Vinafacade,Công ty CP Vinafacade,2021,5.522.659.768,5.522.659.768,2021.0,5522659768.0,5522659768.0
Công ty CP Đầu tư Văn Phú Building,Công ty CP Đầu tư Văn Phú Building,Công ty CP Đầu tư Văn Phú Building,2021,5.707.549.314,5.707.549.314,2021.0,5707549314.0,5707549314.0
Công ty TNHH Vật Tư Kim Khí Hưng Yên,Công ty TNHH Vật Tư Kim Khí Hưng Yên,Công ty TNHH Vật Tư Kim Khí Hưng Yên,2021,5.096.125.835,5.096.125.835,2021.0,5096125835.0,5096125835.0
