row_label_raw,row_label_full,STT,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,59.134.101.897,23.462.167.779,,1.0,,59134101897.0,23462167779.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,,,
-,2. > -,-,Khấu hao tài sản cố định và BĐSĐT,02,,8.973.973,53.622.911,,2.0,,8973973.0,53622911.0
-,2. > -,-,Các khoản dự phòng,03,,(56.901.864.051),(36.878.969.161),,3.0,,-56901864051.0,-36878969161.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,-,-,,4.0,,,
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,192.147.249,(754.196.782),,5.0,,192147249.0,-754196782.0
-,2. > -,-,Chi phí lãi vay,06,,2.640.754.703,2.640.754.703,,6.0,,2640754703.0,2640754703.0
-,2. > -,-,Các khoản điều chỉnh khác,07,,-,-,,7.0,,,
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,5.074.113.771,(11.476.620.550),,8.0,,5074113771.0,-11476620550.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,56.484.453.052,2.410.901.663,,9.0,,56484453052.0,2410901663.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,11.357.442.183,9.876.578.580,,10.0,,11357442183.0,9876578580.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế TNDN phải nộp)",11,,(83.754.661.009),(17.566.345.205),,11.0,,-83754661009.0,-17566345205.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,8.293.687.710,10.033.035.619,,12.0,,8293687710.0,10033035619.0
-,2. > -,-,"Tăng, giảm chứng khoán kinh doanh",13,,-,10.676.359.314,,13.0,,,10676359314.0
-,2. > -,-,Tiền lãi vay đã trả,14,,(4.999.780.000),-,,14.0,,-4999780000.0,
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,,-,-,,15.0,,,
-,2. > -,-,Tiền thu khác từ hoạt động kinh doanh,16,,-,-,,16.0,,,
-,2. > -,-,Tiền chi khác từ hoạt động kinh doanh,17,,-,-,,17.0,,,
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(7.544.744.293),3.953.909.421,,20.0,,-7544744293.0,3953909421.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các TS dài hạn khác",21,,-,(222.000.000),,21.0,,,-222000000.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các TS dài hạn khác",22,,-,-,,22.0,,,
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,-,-,,23.0,,,
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,-,-,,24.0,,,
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,-,-,,25.0,,,
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,-,,26.0,,,
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,1.864.556.844,607.560.166,,27.0,,1864556844.0,607560166.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,1.864.556.844,385.560.166,,30.0,,1864556844.0,385560166.0
