row_label_raw,row_label_full,Tại ngày cuối năm,Từ 1 năm trở xuống > Tại ngày cuối năm,Trên 1 năm đến 5 năm > Tại ngày cuối năm,Trên 5 năm > Tại ngày cuối năm,Cộng > Tại ngày cuối năm,numeric__Từ 1 năm trở xuống > Tại ngày cuối năm,numeric__Trên 1 năm đến 5 năm > Tại ngày cuối năm,numeric__Trên 5 năm > Tại ngày cuối năm,numeric__Cộng > Tại ngày cuối năm
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,2.872.844.461,-,-,2.872.844.461,2872844461.0,,,2872844461.0
Vay và nợ,Vay và nợ,Vay và nợ,2.500.000.000,32.227.733.073,-,34.727.733.073,2500000000.0,32227733073.0,,34727733073.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,-,-,-,-,,,,
Các khoản phải trả khác,Chi phí phải trả > Các khoản phải trả khác,Các khoản phải trả khác,49.190.375.786,45.619.863.439,-,94.810.239.225,49190375786.0,45619863439.0,,94810239225.0
Cộng,Chi phí phải trả > Cộng,Cộng,54.563.220.247,77.847.596.512,-,132.410.816.759,54563220247.0,77847596512.0,,132410816759.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,,
Phải trả cho người bán,Tại ngày đầu năm > Phải trả cho người bán,Phải trả cho người bán,6.700.119.519,-,-,6.700.119.519,6700119519.0,,,6700119519.0
Vay và nợ,Tại ngày đầu năm > Vay và nợ,Vay và nợ,-,34.727.733.073,-,34.727.733.073,,34727733073.0,,34727733073.0
Chi phí phải trả,Tại ngày đầu năm > Chi phí phải trả,Chi phí phải trả,24.440.577.507,-,-,24.440.577.507,24440577507.0,,,24440577507.0
Các khoản phải trả khác,Tại ngày đầu năm > Các khoản phải trả khác,Các khoản phải trả khác,51.542.608.484,29.935.760.736,-,81.478.369.220,51542608484.0,29935760736.0,,81478369220.0
Cộng,Tại ngày đầu năm > Cộng,Cộng,82.683.305.510,64.663.493.809,-,147.346.799.319,82683305510.0,64663493809.0,,147346799319.0
