row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị (VND),Số cuối năm > Tỷ lệ(%),Số đầu năm > Giá trị (VND),Số đầu năm > Tỷ lệ(%),numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Tỷ lệ(%),numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Tỷ lệ(%)
- Vốn góp của các cổ đông,- Vốn góp của các cổ đông,- Vốn góp của các cổ đông,3.000.000.000.000,100,3.000.000.000.000,100,3000000000000.0,100.0,3000000000000.0,100.0
Cộng,Cộng,Cộng,3.000.000.000.000,100,3.000.000.000.000,100,3000000000000.0,100.0,3000000000000.0,100.0
