row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm (trình bày lại) > Giá gốc,Số đầu năm (trình bày lại) > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm (trình bày lại) > Giá gốc,numeric__Số đầu năm (trình bày lại) > Giá trị có thể thu hồi
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,-,-,5.365.828.037,2.527.914.018,,,5365828037.0,2527914018.0
+ Bà Nguyễn Thị Dung (*),+ Bà Nguyễn Thị Dung (*),+ Bà Nguyễn Thị Dung (*),-,-,5.365.828.037,2.527.914.018,,,5365828037.0,2527914018.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,44.383.247.680,-,44.383.247.680,-,44383247680.0,,44383247680.0,
+ Công ty Cổ phần Giày đa và May mặc xuất khẩu,+ Công ty Cổ phần Giày đa và May mặc xuất khẩu,+ Công ty Cổ phần Giày đa và May mặc xuất khẩu,44.383.247.680,-,44.383.247.680,-,44383247680.0,,44383247680.0,
Cộng,Cộng,Cộng,44.383.247.680,-,49.749.075.717,2.527.914.018,44383247680.0,,49749075717.0,2527914018.0
