row_label_raw,row_label_full,STT,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,56.300.266.303,121.940.973.995,,100.0,,56300266303.0,121940973995.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.01,22.944.111.995,28.624.299.444,,110.0,,22944111995.0,28624299444.0
1.,1.,1.,Tiền,111,,481.268.175,1.086.730.985,,111.0,,481268175.0,1086730985.0
2.,2.,2.,Các khoản tương đương tiền,112,,22.462.843.820,27.537.568.459,,112.0,,22462843820.0,27537568459.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,V.02,6.278.675.000,7.711.925.000,,120.0,,6278675000.0,7711925000.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.02a,21.755.491.533,21.755.491.533,,121.0,,21755491533.0,21755491533.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.02a,(15.476.816.533),(14.043.566.533),,122.0,,-15476816533.0,-14043566533.0
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,,-,-,,123.0,,,
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,7.729.306.101,54.593.676.816,,130.0,,7729306101.0,54593676816.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.03,5.750.739.753,18.475.277.754,,131.0,,5750739753.0,18475277754.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.04,-,30.967.680.234,,132.0,,,30967680234.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,,-,-,,135.0,,,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.05,1.978.566.348,7.988.632.847,,136.0,,1978566348.0,7988632847.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi (*),137,V.06,-,(2.837.914.019),,137.0,,,-2837914019.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,V.07,12.781.999.306,24.139.441.489,,140.0,,12781999306.0,24139441489.0
1.,1.,1.,Hàng tồn kho,141,,12.781.999.306,24.139.441.489,,141.0,,12781999306.0,24139441489.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho (*),149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,6.566.173.901,6.871.631.246,,150.0,,6566173901.0,6871631246.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.11,-,-,,151.0,,,
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,5.479.955.318,5.785.412.663,,152.0,,5479955318.0,5785412663.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.15,1.086.218.583,1.086.218.583,,153.0,,1086218583.0,1086218583.0
4.,4.,4.,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
