row_label_raw,row_label_full,col_0,Mã số,Số liệu theo Báo cáo tài chính đã kiểm toán năm trước,Số điều chỉnh,Số liệu sau điều chỉnh(Trình bày lại),numeric__Mã số,numeric__Số liệu theo Báo cáo tài chính đã kiểm toán năm trước,numeric__Số điều chỉnh,numeric__Số liệu sau điều chỉnh(Trình bày lại)
Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,,,,
B. TÀI SẢN DÀI HẠN,Băng cân đối kế toán > B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,1.316.587.562.938,31.240.806.563,1.347.828.369.501,200.0,1316587562938.0,31240806563.0,1347828369501.0
IV. Các khoản đầu tư tài chính dài hạn,Băng cân đối kế toán > IV. Các khoản đầu tư tài chính dài hạn,IV. Các khoản đầu tư tài chính dài hạn,250,855.155.543.450,31.240.806.563,886.396.350.013,250.0,855155543450.0,31240806563.0,886396350013.0
4. Dự phòng giảm giá đầu tư tài chính dài hạn (*),Băng cân đối kế toán > 4. Dự phòng giảm giá đầu tư tài chính dài hạn (*),4. Dự phòng giảm giá đầu tư tài chính dài hạn (*),254,(844.711.141.294),31.240.806.563,(813.470.334.731),254.0,-844711141294.0,31240806563.0,-813470334731.0
TỔNG CỘNG TÀI SẢN,Băng cân đối kế toán > TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,1.438.528.536.933,31.240.806.563,1.469.769.343.496,270.0,1438528536933.0,31240806563.0,1469769343496.0
I. Nợ ngắn hạn,Băng cân đối kế toán > I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,199.444.893.240,23.373.788.160,222.818.681.400,310.0,199444893240.0,23373788160.0,222818681400.0
9. Phải trả ngắn hạn khác,Băng cân đối kế toán > 9. Phải trả ngắn hạn khác,9. Phải trả ngắn hạn khác,319,125.927.372.246,23.373.788.160,149.301.160.406,319.0,125927372246.0,23373788160.0,149301160406.0
II. Nợ dài hạn,Băng cân đối kế toán > II. Nợ dài hạn,II. Nợ dài hạn,330,840.279.996.114,(23.373.788.160),816.906.207.954,330.0,840279996114.0,-23373788160.0,816906207954.0
7. Phải trả dài hạn khác,Băng cân đối kế toán > 7. Phải trả dài hạn khác,7. Phải trả dài hạn khác,337,543.877.031.952,(23.373.788.160),520.503.243.792,337.0,543877031952.0,-23373788160.0,520503243792.0
B. VỐN CHỦ SỐ HỮU,Băng cân đối kế toán > B. VỐN CHỦ SỐ HỮU,B. VỐN CHỦ SỐ HỮU,400,398.803.647.579,31.240.806.563,430.044.454.142,400.0,398803647579.0,31240806563.0,430044454142.0
I. Vốn chủ sở hữu,Băng cân đối kế toán > I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,398.803.647.579,31.240.806.563,430.044.454.142,410.0,398803647579.0,31240806563.0,430044454142.0
11. Lợi nhuận sau thuế chưa phân phối,Băng cân đối kế toán > 11. Lợi nhuận sau thuế chưa phân phối,11. Lợi nhuận sau thuế chưa phân phối,421,(2.713.184.787.933),31.240.806.563,(2.681.943.981.370),421.0,-2713184787933.0,31240806563.0,-2681943981370.0
Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Băng cân đối kế toán > Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,(2.736.646.955.712),31.240.806.563,(2.705.406.149.149),,-2736646955712.0,31240806563.0,-2705406149149.0
TỔNG CỘNG NGUỒN VỐN,Băng cân đối kế toán > TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,1.438.528.536.933,31.240.806.563,1.469.769.343.496,440.0,1438528536933.0,31240806563.0,1469769343496.0
