row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khà năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khà năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khà năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khà năng trả nợ
a. Phải trả người bán ngắn hạn,a. Phải trả người bán ngắn hạn,a. Phải trả người bán ngắn hạn,2.872.844.461,2.872.844.461,6.700.119.519,6.700.119.519,2872844461.0,2872844461.0,6700119519.0,6700119519.0
- Tổng Công ty Xây dựng Hà Nội - Công ty TNHH,- Tổng Công ty Xây dựng Hà Nội - Công ty TNHH,- Tổng Công ty Xây dựng Hà Nội - Công ty TNHH,1.410.566.240,1.410.566.240,1.410.566.240,1.410.566.240,1410566240.0,1410566240.0,1410566240.0,1410566240.0
- Công ty TNHH MTV- Tổng Công ty Đầu tư Phát triển Hạ tầng Đô thị UDIC,- Công ty TNHH MTV- Tổng Công ty Đầu tư Phát triển Hạ tầng Đô thị UDIC,- Công ty TNHH MTV- Tổng Công ty Đầu tư Phát triển Hạ tầng Đô thị UDIC,940.670.171,940.670.171,940.670.171,940.670.171,940670171.0,940670171.0,940670171.0,940670171.0
- Công ty Cổ phần Xây lắp Dầu khí Hà Nội,- Công ty Cổ phần Xây lắp Dầu khí Hà Nội,- Công ty Cổ phần Xây lắp Dầu khí Hà Nội,400.000.000,400.000.000,783.573.871,783.573.871,400000000.0,400000000.0,783573871.0,783573871.0
- Phải trả ngắn hạn cho các người bán khác,- Phải trả ngắn hạn cho các người bán khác,- Phải trả ngắn hạn cho các người bán khác,121.608.050,121.608.050,3.565.309.237,3.565.309.237,121608050.0,121608050.0,3565309237.0,3565309237.0
b. Phải trả người bán dài hạn,b. Phải trả người bán dài hạn,b. Phải trả người bán dài hạn,-,-,-,-,,,,
Cộng,b. Phải trả người bán dài hạn > Cộng,Cộng,2.872.844.461,2.872.844.461,6.700.119.519,6.700.119.519,2872844461.0,2872844461.0,6700119519.0,6700119519.0
14. Người mua trả tiền trước,14. Người mua trả tiền trước,14. Người mua trả tiền trước,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,
14. Người mua trả tiền trước,14. Người mua trả tiền trước,14. Người mua trả tiền trước,Giá trị,Số có khà năng trả nợ,Giá trị,Số có khà năng trả nợ,,,,
a. Người mua trả tiền trước ngắn hạn,14. Người mua trả tiền trước > a. Người mua trả tiền trước ngắn hạn,a. Người mua trả tiền trước ngắn hạn,14.365.733.510,14.365.733.510,35.035.798.468,35.035.798.468,14365733510.0,14365733510.0,35035798468.0,35035798468.0
- Khách hàng mua căn hộ trả trước tiền,14. Người mua trả tiền trước > - Khách hàng mua căn hộ trả trước tiền,- Khách hàng mua căn hộ trả trước tiền,14.365.733.510,14.365.733.510,14.667.005.284,14.667.005.284,14365733510.0,14365733510.0,14667005284.0,14667005284.0
- Công ty Cổ phần DL Dầu khí Phương Đông,14. Người mua trả tiền trước > - Công ty Cổ phần DL Dầu khí Phương Đông,- Công ty Cổ phần DL Dầu khí Phương Đông,-,-,13.705.514.600,13.705.514.600,,,13705514600.0,13705514600.0
- Ngân hàng TM TNHH MTV Đại Dương,14. Người mua trả tiền trước > - Ngân hàng TM TNHH MTV Đại Dương,- Ngân hàng TM TNHH MTV Đại Dương,-,-,6.630.600.000,6.630.600.000,,,6630600000.0,6630600000.0
- Người mua trả tiền trước ngắn hạn khác,14. Người mua trả tiền trước > - Người mua trả tiền trước ngắn hạn khác,- Người mua trả tiền trước ngắn hạn khác,-,-,32.678.584,32.678.584,,,32678584.0,32678584.0
b. Người mua trả tiền trước dài hạn,b. Người mua trả tiền trước dài hạn,b. Người mua trả tiền trước dài hạn,-,-,-,-,,,,
Cộng,b. Người mua trả tiền trước dài hạn > Cộng,Cộng,14.365.733.510,14.365.733.510,35.035.798.468,35.035.798.468,14365733510.0,14365733510.0,35035798468.0,35035798468.0
