row_label_raw,row_label_full,04. Trả trước cho người bán,04. Trả trước cho người bán_1,04. Trả trước cho người bán_2,04. Trả trước cho người bán_3,04. Trả trước cho người bán_4,numeric__04. Trả trước cho người bán_1,numeric__04. Trả trước cho người bán_2,numeric__04. Trả trước cho người bán_3,numeric__04. Trả trước cho người bán_4
,,,Số cuối năm,Số đầu năm,,,,,,
a. Trả trước cho người bán ngắn hạn,a. Trả trước cho người bán ngắn hạn,a. Trả trước cho người bán ngắn hạn,-,30.967.680.234,,,,30967680234.0,,
- Công ty Cổ phần Đầu tư và Thương mại Vneco Hà Nội,- Công ty Cổ phần Đầu tư và Thương mại Vneco Hà Nội,- Công ty Cổ phần Đầu tư và Thương mại Vneco Hà Nội,-,22.476.949.700,,,,22476949700.0,,
- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,-,8.289.079.493,,,,8289079493.0,,
- Trả trước cho người bán ngắn hạn khác,- Trả trước cho người bán ngắn hạn khác,- Trả trước cho người bán ngắn hạn khác,-,201.651.041,,,,201651041.0,,
b. Trả trước cho người bán dài hạn,b. Trả trước cho người bán dài hạn,b. Trả trước cho người bán dài hạn,-,179.473.550.180,,,,179473550180.0,,
- Công ty TNHH VNT (*),- Công ty TNHH VNT (*),- Công ty TNHH VNT (*),-,78.027.802.500,,,,78027802500.0,,
- Công ty Cổ phần Licogi 19 (*),- Công ty Cổ phần Licogi 19 (*),- Công ty Cổ phần Licogi 19 (*),-,57.000.000.000,,,,57000000000.0,,
- Công ty Cổ phần Đầu tư Phát triển Gia Định (*),- Công ty Cổ phần Đầu tư Phát triển Gia Định (*),- Công ty Cổ phần Đầu tư Phát triển Gia Định (*),-,44.445.747.680,,,,44445747680.0,,
Cộng,Cộng,Cộng,-,210.441.230.414,,,,210441230414.0,,
(*) Trình bày lại sang khoản phải thu khác dài hạn sau khi đánh giá lại các khoản công nợ.,(*) Trình bày lại sang khoản phải thu khác dài hạn sau khi đánh giá lại các khoản công nợ.,(*) Trình bày lại sang khoản phải thu khác dài hạn sau khi đánh giá lại các khoản công nợ.,(*) Trình bày lại sang khoản phải thu khác dài hạn sau khi đánh giá lại các khoản công nợ.,(*) Trình bày lại sang khoản phải thu khác dài hạn sau khi đánh giá lại các khoản công nợ.,(*) Trình bày lại sang khoản phải thu khác dài hạn sau khi đánh giá lại các khoản công nợ.,(*) Trình bày lại sang khoản phải thu khác dài hạn sau khi đánh giá lại các khoản công nợ.,,,,
05. Phải thu khác,05. Phải thu khác,05. Phải thu khác,05. Phải thu khác,05. Phải thu khác,05. Phải thu khác,05. Phải thu khác,,,,
,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,
,,,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,
a. Ngắn hạn,05. Phải thu khác > a. Ngắn hạn,a. Ngắn hạn,1.978.566.348,-,7.988.632.847,(2.837.914.019),1978566348.0,,7988632847.0,-2837914019.0
- Tạm ứng,05. Phải thu khác > - Tạm ứng,- Tạm ứng,1.143.706.439,-,492.150.000,-,1143706439.0,,492150000.0,
"- Ký quỹ, ký cược ngắn hạn","05. Phải thu khác > - Ký quỹ, ký cược ngắn hạn","- Ký quỹ, ký cược ngắn hạn",-,-,340.000.000,-,,,340000000.0,
- Phải thu khác,05. Phải thu khác > - Phải thu khác,- Phải thu khác,834.859.909,-,7.156.482.847,(2.837.914.019),834859909.0,,7156482847.0,-2837914019.0
+ Bà Nguyễn Thị Dung,05. Phải thu khác > + Bà Nguyễn Thị Dung,+ Bà Nguyễn Thị Dung,-,-,5.365.828.037,(2.837.914.019),,,5365828037.0,-2837914019.0
+ Ngân hàng TMCP Hàng Hải Việt Nam - CN Đống Đa,05. Phải thu khác > + Ngân hàng TMCP Hàng Hải Việt Nam - CN Đống Đa,+ Ngân hàng TMCP Hàng Hải Việt Nam - CN Đống Đa,180.136.548,-,146.636.616,-,180136548.0,,146636616.0,
+ Các khoản phải thu khác,05. Phải thu khác > + Các khoản phải thu khác,+ Các khoản phải thu khác,654.723.361,-,1.644.018.194,-,654723361.0,,1644018194.0,
