row_label_raw,row_label_full,Doanh thu đối với các bên liên quan (chi tiết xem thuyết minh VIII.02),Năm nay > 1.525.987.092,Năm trước > 2.333.217.210,numeric__Năm nay > 1.525.987.092,numeric__Năm trước > 2.333.217.210
- Doanh thu cho thuê mặt bằng,- Doanh thu cho thuê mặt bằng,- Doanh thu cho thuê mặt bằng,1.525.987.092,1.525.987.092,1525987092.0,1525987092.0
- Doanh thu khác,- Doanh thu khác,- Doanh thu khác,-,807.230.118,,807230118.0
