row_label_raw,row_label_full,Doanh thu chưa thực hiện,53.071.831.890,54.597.818.980,numeric__53.071.831.890,numeric__54.597.818.980
Công ty Cổ phần Bánh Givral (Ngắn hạn),Công ty Cổ phần Bánh Givral (Ngắn hạn),Công ty Cổ phần Bánh Givral (Ngắn hạn),1.525.987.092,1.525.987.097,1525987092.0,1525987097.0
Công ty Cổ phần Bánh Givral (Dải hạn),Công ty Cổ phần Bánh Givral (Dải hạn),Công ty Cổ phần Bánh Givral (Dải hạn),51.545.844.798,53.071.831.883,51545844798.0,53071831883.0
Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,2.500.000.000,-,2500000000.0,
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,2.500.000.000,-,2500000000.0,
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,26.089.209.473,-,26089209473.0,
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,26.089.209.473,-,26089209473.0,
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,32.227.733.073,34.727.733.073,32227733073.0,34727733073.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,32.227.733.073,34.727.733.073,32227733073.0,34727733073.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,-,24.366.854.770,,24366854770.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,-,24.366.854.770,,24366854770.0
Cộng nợ phải trả,Cộng nợ phải trả,Cộng nợ phải trả,60.816.942.546,59.094.587.843,60816942546.0,59094587843.0
