row_label_raw,row_label_full,Tên Công ty,Địa chỉ,Tỷ lệ lợi ích của Công ty tại ngày cuối năm (%),Quyền biểu quyết của Công ty mẹ > Cuối năm (%),Quyền biểu quyết của Công ty mẹ > Đầu năm (%),Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích của Công ty tại ngày cuối năm (%),numeric__Quyền biểu quyết của Công ty mẹ > Cuối năm (%),numeric__Quyền biểu quyết của Công ty mẹ > Đầu năm (%),numeric__Hoạt động kinh doanh chính
Công ty Cổ phần One Capital Hospitaliy,Công ty Cổ phần One Capital Hospitaliy,Công ty Cổ phần One Capital Hospitaliy,Hà Nội,"55,60%","55,60%","55,60%","Du lịch, Nhà hàng, Khách sạn",,0.556,0.556,0.556,
Công ty Cổ phần Đầu tư Đại Dương Thăng Long,Công ty Cổ phần Đầu tư Đại Dương Thăng Long,Công ty Cổ phần Đầu tư Đại Dương Thăng Long,Hà Nội,"94,01%","99,99%","99,99%","Xây dựng, kinh doanh bất động sản",,0.9401,0.9998999999999999,0.9998999999999999,
Công ty Cổ phần Phát triển Tài nguyên Thiên nhiên Đại Dương (*),Công ty Cổ phần Phát triển Tài nguyên Thiên nhiên Đại Dương (*),Công ty Cổ phần Phát triển Tài nguyên Thiên nhiên Đại Dương (*),Hà Nội,"75,05%","75,05%","75,05%","Trồng rừng, chăm sóc rừng, khai thác gỗ, sân xuất gỗ",,0.7505,0.7505,0.7505,
Công ty Cổ phần Sở giao dịch hàng hóa INFO (*),Công ty Cổ phần Sở giao dịch hàng hóa INFO (*),Công ty Cổ phần Sở giao dịch hàng hóa INFO (*),Hà Nội,"100,00%","100,00%","100,00%",Sản giao dịch hàng hóa,,1.0,1.0,1.0,
Công ty Đầu tư Kinh doanh Bất động sản TKD Việt Nam (*),Công ty Đầu tư Kinh doanh Bất động sản TKD Việt Nam (*),Công ty Đầu tư Kinh doanh Bất động sản TKD Việt Nam (*),Hà Nội,"100,00%","100,00%","100,00%",Kinh doanh bất động sản,,1.0,1.0,1.0,
