row_label_raw,row_label_full,Tên đối tượng > Trả trước cho người bán dài hạn > Công ty Cổ phần Đầu tư và Xây lắp,Năm xử lý > 2021,Số cuối năm > 258.013.998.565 > 66.000.000.000,Số đầu năm > 258.013.998.565 > 66.000.000.000,numeric__Năm xử lý > 2021,numeric__Số cuối năm > 258.013.998.565 > 66.000.000.000,numeric__Số đầu năm > 258.013.998.565 > 66.000.000.000
Thương mại BMC Hà Nội,Thương mại BMC Hà Nội,Thương mại BMC Hà Nội,,,,,,
Công ty Cổ phần Đầu tư và Tư vấn Liên Việt,Thương mại BMC Hà Nội > Công ty Cổ phần Đầu tư và Tư vấn Liên Việt,Công ty Cổ phần Đầu tư và Tư vấn Liên Việt,2021,145.000.000.000,145.000.000.000,2021.0,145000000000.0,145000000000.0
Công ty Cổ phần BSC Việt Nam,Thương mại BMC Hà Nội > Công ty Cổ phần BSC Việt Nam,Công ty Cổ phần BSC Việt Nam,2021,2.146.109.684,2.146.109.684,2021.0,2146109684.0,2146109684.0
Công ty Cổ phần Đầu tư Phát triển Gia Định,Thương mại BMC Hà Nội > Công ty Cổ phần Đầu tư Phát triển Gia Định,Công ty Cổ phần Đầu tư Phát triển Gia Định,2021,4.850.000.000,4.850.000.000,2021.0,4850000000.0,4850000000.0
Công ty Cổ phần Đầu tư PVR Hà Nội,Thương mại BMC Hà Nội > Công ty Cổ phần Đầu tư PVR Hà Nội,Công ty Cổ phần Đầu tư PVR Hà Nội,2011,40.017.888.881,40.017.888.881,2011.0,40017888881.0,40017888881.0
Cộng,Thương mại BMC Hà Nội > Cộng,Cộng,,2.583.167.950.399,2.579.408.629.567,,2583167950399.0,2579408629567.0
