row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm,Tài sân khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm,numeric__Tài sân khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,13.363.683.792,6.145.672.000,171.999.000,19.681.354.792,13363683792.0,6145672000.0,171999000.0,19681354792.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,10.464.534.800,-,10.464.534.800,,10464534800.0,,10464534800.0
Kết chuyển từ đầu tư xây dựng cơ bản dở dang,Nguyên giá: > Kết chuyển từ đầu tư xây dựng cơ bản dở dang,Kết chuyển từ đầu tư xây dựng cơ bản dở dang,-,32.500.000,-,32.500.000,,32500000.0,,32500000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,13.363.683.792,16.642.706.800,171.999.000,30.178.389.592,13363683792.0,16642706800.0,171999000.0,30178389592.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(842.463.364),(37.266.450),(879.729.814),,-842463364.0,-37266450.0,-879729814.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(1.893.731.604),(34.399.800),(1.928.131.404),,-1893731604.0,-34399800.0,-1928131404.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(2.736.194.966),(71.666.250),(2.607.861.218),,-2736194966.0,-71666250.0,-2607861218.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,13.363.683.792,5.303.208.636,134.732.550,18.801.624.978,13363683792.0,5303208636.0,134732550.0,18801624978.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,13.363.683.792,13.906.511.832,100.332.750,27.370.528.374,13363683792.0,13906511832.0,100332750.0,27370528374.0
