row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,"Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tải sảncố định khác,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tải sảncố định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,7.516.919.419,140.241.818,39.064.678.994,1.181.456.765,1.233.022.145,49.136.319.141,7516919419.0,140241818.0,39064678994.0,1181456765.0,1233022145.0,49136319141.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,74.309.000,528.625.454,18.795.102.544,4.563.684.335,946.415.173,24.908.136.506,74309000.0,528625454.0,18795102544.0,4563684335.0,946415173.0,24908136506.0
Kết chuyển từ đầu tư xây dựngcơ bản dở dang,Nguyên giá: > Kết chuyển từ đầu tư xây dựngcơ bản dở dang,Kết chuyển từ đầu tư xây dựngcơ bản dở dang,53.972.258.464,-,-,7.231.473.711,-,61.203.732.175,53972258464.0,,,7231473711.0,,61203732175.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,61.563.486.883,668.867.272,57.859.781.538,12.976.614.811,2.179.437.318,135.248.187.822,61563486883.0,668867272.0,57859781538.0,12976614811.0,2179437318.0,135248187822.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,-,2.517.682.547,358.656.220,-,2.876.338.767,,,2517682547.0,358656220.0,,2876338767.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(176.053.431),(22.274.100),(12.364.860.367),(774.996.230),(217.694.481),(13.555.878.609),-176053431.0,-22274100.0,-12364860367.0,-774996230.0,-217694481.0,-13555878609.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(426.634.677),(181.824.710),(7.313.980.476),(1.143.157.952),(294.786.292),(9.360.384.107),-426634677.0,-181824710.0,-7313980476.0,-1143157952.0,-294786292.0,-9360384107.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(602.688.108),(204.098.810),(19.678.840.843),(1.918.154.182),(512.480.773),(22.916.262.716),-602688108.0,-204098810.0,-19678840843.0,-1918154182.0,-512480773.0,-22916262716.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,7.340.865.988,117.967.718,26.699.818.627,406.460.535,1.015.327.664,35.580.440.532,7340865988.0,117967718.0,26699818627.0,406460535.0,1015327664.0,35580440532.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,60.960.798.775,464.768.462,38.180.940.695,11.058.460.629,1.666.956.545,112.331.925.106,60960798775.0,464768462.0,38180940695.0,11058460629.0,1666956545.0,112331925106.0
Trong đó:The chấp để đảm bảocác khoản vay(Thuyết minh số 25.1 và 25.3),Giá trị còn lại: > Trong đó:The chấp để đảm bảocác khoản vay(Thuyết minh số 25.1 và 25.3),Trong đó:The chấp để đảm bảocác khoản vay(Thuyết minh số 25.1 và 25.3),-,-,8.595.157.101,-,-,8.595.157.101,,,8595157101.0,,,8595157101.0
