row_label_raw,row_label_full,LDG,Bên liên quan,Tam ứng mua,Tam ứng mua_1,Tam ứng mua_2,numeric__Bên liên quan,numeric__Tam ứng mua,numeric__Tam ứng mua_1,numeric__Tam ứng mua_2
LDG,LDG,LDG,Bên liên quan,có phần,489.740.000.000,-,,,489740000000.0,
LDG,LDG,LDG,Bên liên quan,Ký quỹ,7.000.000.000,9.481.796.659,,,7000000000.0,9481796659.0
LDG,LDG,LDG,Bên liên quan,Chi hô,2.606.672.527,5.096.885.041,,,2606672527.0,5096885041.0
DXI,DXI,DXI,Công ty trongTập đoàn,Vốn góp theo,,,,,,
DXI,DXI > DXI,DXI,Công ty trongTập đoàn,HĐHTKD,45.939.736.959,9.029.614.000,,,45939736959.0,9029614000.0
DXI,DXI > DXI,DXI,Công ty trongTập đoàn,Ký quỹ,2.500.899.313,-,,,2500899313.0,
DXG,DXI > DXG,DXG,Công ty mẹ,Ký quỹ,7.883.744.458,-,,,7883744458.0,
DXG,DXI > DXG,DXG,Công ty mẹ,Chi hô,2.442.444.030,3.025.989.241,,,2442444030.0,3025989241.0
DXG,DXG,DXG,Công ty mẹ,Vốn góp theo,,,,,,
DXG,DXG > DXG,DXG,Công ty mẹ,HĐHTKD,-,7.366.596.913,,,,7366596913.0
ÔngTrần Công Luận,DXG > ÔngTrần Công Luận,ÔngTrần Công Luận,Chủ tịchHội đồngquản trị,Tam ứng,-,1.319.000.000,,,,1319000000.0
,,,,,558.113.497.287,35.319.881.854,,,558113497287.0,35319881854.0
