row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,,,,,,,
31.1,31.1,31.1,Nhận vốn góp từ cổ đông không kiểm soát,,476.880.302.000,32.574.087.000,,,476880302000.0,32574087000.0
31.2,31.2,31.2,Nhận vốn góp từ chủ sở hữu,,1.596.405.520.000,1.519.104.120.000,,,1596405520000.0,1519104120000.0
33,33,33,Tiền thu từ đi vay,25,1.086.196.770.013,803.814.490.262,,25.0,1086196770013.0,803814490262.0
34,34,34,Tiền trả nợ gốc vay,25,(646.220.289.923),(836.643.080.041),,25.0,-646220289923.0,-836643080041.0
36,36,36,Cổ tức đã trả,26.2,(1.171.021.493.258),(1.030.688.689.893),,262.0,-1171021493258.0,-1030688689893.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,1.342.240.808.832,488.160.927.328,,,1342240808832.0,488160927328.0
50,50,50,Tăng tiền và tương đương tiền thuần trong năm,,29.087.305.506,128.298.454.251,,,29087305506.0,128298454251.0
60,60,60,Tiền và tương đương tiền đầu năm,,321.715.069.301,193.416.615.050,,,321715069301.0,193416615050.0
70,70,70,Tiền và tương đương tiền cuối năm,5,350.802.374.807,321.715.069.301,,5.0,350802374807.0,321715069301.0
