row_label_raw,row_label_full,col_0,Vốncổ phần,Phụ trốihợp nhất,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng công,numeric__Vốncổ phần,numeric__Phụ trốihợp nhất,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng công
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,99.928.860.000,,326.570.000.000,5.095.306.226,270.625.765.096,589.968.305.155,1.292.188.236.477,99928860000.0,,326570000000.0,5095306226.0,270625765096.0,589968305155.0,1292188236477.0
Phát hànhcổ phiếu,Năm trước > Phát hànhcổ phiếu,Phát hànhcổ phiếu,1.000.071.140.000,,,,,,1.000.071.140.000,1000071140000.0,,,,,,1000071140000.0
Góp vốn tử Công tymệ cao nhất,Năm trước > Góp vốn tử Công tymệ cao nhất,Góp vốn tử Công tymệ cao nhất,,,215.438.500.000,,,,215.438.500.000,,,215438500000.0,,,,215438500000.0
Góp vốn tửcổ đông,Góp vốn tửcổ đông,Góp vốn tửcổ đông,,,,,,,,,,,,,,
không kiểm soát,Góp vốn tửcổ đông > không kiểm soát,không kiểm soát,,,,,,439.745.830.736,439.745.830.736,,,,,,439745830736.0,439745830736.0
Lợi nhuận thuầntrong năm,Góp vốn tửcổ đông > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,,,,,511.246.273.949,529.928.225.420,1.041.174.499.369,,,,,511246273949.0,529928225420.0,1041174499369.0
Cổ tứcđã công bố,Góp vốn tửcổ đông > Cổ tứcđã công bố,Cổ tứcđã công bố,,,,,(555.755.272.824),,(555.755.272.824),,,,,-555755272824.0,,-555755272824.0
Cổ tức trả chocổ đông,Cổ tức trả chocổ đông,Cổ tức trả chocổ đông,,,,,,,,,,,,,,
không kiểm soát,Cổ tức trả chocổ đông > không kiểm soát,không kiểm soát,,,,,,(569.250.827.944),(569.250.827.944),,,,,,-569250827944.0,-569250827944.0
Trích quỹđầu tư phát triển,Cổ tức trả chocổ đông > Trích quỹđầu tư phát triển,Trích quỹđầu tư phát triển,,,,(12.002.715),12.002.715,,,,,,-12002715.0,12002715.0,,
"Trích quỹ khenthường, phúc lợiGiảm do thanh lýkhoản đầu tư","Cổ tức trả chocổ đông > Trích quỹ khenthường, phúc lợiGiảm do thanh lýkhoản đầu tư","Trích quỹ khenthường, phúc lợiGiảm do thanh lýkhoản đầu tư",,,,,(34.360.097.531),(42.730.797.949),(77.090.895.480),,,,,-34360097531.0,-42730797949.0,-77090895480.0
"Trích quỹ khenthường, phúc lợiGiảm do thanh lýkhoản đầu tư","Cổ tức trả chocổ đông > Trích quỹ khenthường, phúc lợiGiảm do thanh lýkhoản đầu tư","Trích quỹ khenthường, phúc lợiGiảm do thanh lýkhoản đầu tư",,(9.350.460.000),(542.008.500.000),,,,(551.358.960.000),,-9350460000.0,-542008500000.0,,,,-551358960000.0
Số cuối năm,Cổ tức trả chocổ đông > Số cuối năm,Số cuối năm,1.100.000.000.000,(9.350.460.000),,5.083.303.511,191.768.671.405,947.660.735.418,2.235.162.250.334,1100000000000.0,-9350460000.0,,5083303511.0,191768671405.0,947660735418.0,2235162250334.0
