row_label_raw,row_label_full,col_0,Số cuối năm,VND Số dêu năm,numeric__Số cuối năm,numeric__VND Số dêu năm
Chỉ phí phát triển phần mềm,Chỉ phí phát triển phần mềm,Chỉ phí phát triển phần mềm,25.112.125.581,7.904.574.242,25112125581.0,7904574242.0
Dự án Tòa nhà văn phòng Võ Văn Kiệt,Dự án Tòa nhà văn phòng Võ Văn Kiệt,Dự án Tòa nhà văn phòng Võ Văn Kiệt,-,28.336.280.030,,28336280030.0
Khác,Khác,Khác,8.237.416.785,582.437.144,8237416785.0,582437144.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,33.349.542.366,36.823.291.416,33349542366.0,36823291416.0
