row_label_raw,row_label_full,col_0,Dịch vụbất động sản,Đầu tư và phát triệndự án bất động sản,Loại trộ,VNDTổng cộng,numeric__Dịch vụbất động sản,numeric__Đầu tư và phát triệndự án bất động sản,numeric__Loại trộ,numeric__VNDTổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,,,,
Doanh thu thuầnDoanh thu hoạt động kinh doanh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Doanh thu thuầnDoanh thu hoạt động kinh doanh,Doanh thu thuầnDoanh thu hoạt động kinh doanh,2.490.340.813.901,141.528.333.605,(152.716.563.665),2.479.152.583.841,2490340813901.0,141528333605.0,-152716563665.0,2479152583841.0
Kết quả hoạt động kinh doanhLợi nhuận gốp của bộ phậnChi phí không phân bổ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Kết quả hoạt động kinh doanhLợi nhuận gốp của bộ phậnChi phí không phân bổ,Kết quả hoạt động kinh doanhLợi nhuận gốp của bộ phậnChi phí không phân bổ,1.848.580.757.985,21.316.082.879,(296.702.971.167),1.861.166.684.701(521.120.661.570),1848580757985.0,21316082879.0,-296702971167.0,
Lợi nhuận từ hoạt động kinh doanhDoanh thu hoạt động tài chínhChi phí tài chínhLợi nhuận khác,Lợi nhuận từ hoạt động kinh doanhDoanh thu hoạt động tài chínhChi phí tài chínhLợi nhuận khác,Lợi nhuận từ hoạt động kinh doanhDoanh thu hoạt động tài chínhChi phí tài chínhLợi nhuận khác,,,,1.340.046.023.0316.260.313.002(19.332.756.153)(12.502.772.063),,,,
Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,,,,1.314.470.807.817(277.070.374.928)3.774.066.480,,,,
Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,,,,1.041.174.499.369511.246.273.949,,,,1.0411744993695112e+24
Lợi nhuận sau thuế công ty mẹ,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,,529.928.225.420,,,,529928225420.0
Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,,,,
Tải sản và công nợTải sản bộ phậnTải sản không phân bổ,Vào ngày 31 tháng 12 năm 2018 > Tải sản và công nợTải sản bộ phậnTải sản không phân bổ,Tải sản và công nợTải sản bộ phậnTải sản không phân bổ,5.410.051.431.623,612.252.995.571,(482.741.461.630),5.539.562.965.564443.280.248.252,5410051431623.0,612252995571.0,-482741461630.0,5.539562965564444e+24
Tổng tài sản,Vào ngày 31 tháng 12 năm 2018 > Tổng tài sản,Tổng tài sản,,,,5.982.843.213.816,,,,5982843213816.0
Công nợ bổ phậnCông nợ không phân bổ,Vào ngày 31 tháng 12 năm 2018 > Công nợ bổ phậnCông nợ không phân bổ,Công nợ bổ phậnCông nợ không phân bổ,3.698.120.748.021,65.804.748.461,(474.740.362.178),3.289.185.134.304458.495.829.178,3698120748021.0,65804748461.0,-474740362178.0,3.289185134304459e+24
Tổng công nợ,Vào ngày 31 tháng 12 năm 2018 > Tổng công nợ,Tổng công nợ,,,,3.747.680.963.482,,,,3747680963482.0
