row_label_raw,row_label_full,Hàng hóa,- chi phí mua theo phương pháp thực tế đích danh,numeric__- chi phí mua theo phương pháp thực tế đích danh
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,- chi phí mua theo phương pháp bình quân gia quyền,
Chi phí các công trìnhxây dựng đỡ dang,Chi phí các công trìnhxây dựng đỡ dang,Chi phí các công trìnhxây dựng đỡ dang,- giá vốn nguyên vật liệu và lao động trực tiếp công chi phísản xuất chung có liên quan theo phương pháp bìnhquản gia quyền,
