row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
DXG,Phải thu dài hạn khác > DXG,DXG,Công ty me,Vốn góp theo HĐHTKD,376.932.859.350,191.911.150.246,,,376932859350.0,191911150246.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
DXG,Phải trả người bán ngắn hạn > DXG,DXG,Công ty me,Lợi nhuận phân chia từ HĐHTKD,40.138.943.103,50.950.396.567,,,40138943103.0,50950396567.0
DXG,Phải trả người bán ngắn hạn > DXG,DXG,Công ty me,Phí dịch vụ môi giới,-,66.539.793.415,,,,66539793415.0
Xây dựng FBV,Phải trả người bán ngắn hạn > Xây dựng FBV,Xây dựng FBV,Công ty trong Tập đoàn,Phí thi công nhà mẫu,-,2.872.562.201,,,,2872562201.0
LDG,Phải trả người bán ngắn hạn > LDG,LDG,Bên liên quan,Phí dịch vụ quản lý Thanh lý tài sản,106.991.909,-,,,106991909.0,
LDG,Phải trả người bán ngắn hạn > LDG,LDG,Bên liên quan,Phí dịch vụ quản lý Thanh lý tài sản,60.000.000,60.000.000,,,60000000.0,60000000.0
Đất Xanh Premium,Phải trả người bán ngắn hạn > Đất Xanh Premium,Đất Xanh Premium,Bên liên quan,Khoản phải trả,43.094.676,89.599.872,,,43094676.0,89599872.0
,,,,,40.042.416.369,120.512.352.055,,,40042416369.0,120512352055.0
