row_label_raw,row_label_full,col_0,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ biểu quyết,Số cuối năm > Giá trị ghi số,Số đầu năm > Tỷ lệ biểu quyết,Số đầu năm > Giá trị ghi số,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Giá trị ghi số
,,,,%,VND,%,VND,,,,,
"Công ty Cổ phần Đầu tư LDG (""LDG"")","Công ty Cổ phần Đầu tư LDG (""LDG"")","Công ty Cổ phần Đầu tư LDG (""LDG"")",Kinh doanh bất động sản,-,-,"6,00",68.472.200.000,,,,6.0,68472200000.0
