row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,2.048.471.804.409,1.314.470.807.817,2048471804409.0,1314470807817.0
Thuế TNDN theo thuế suất 20% áp dụng cho Nhóm Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Nhóm Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Nhóm Công ty,409.694.360.882,262.894.161.563,409694360882.0,262894161563.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí không được trừ,Các khoản điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,6.721.427.238,8.474.562.845,6721427238.0,8474562845.0
Lỗ thuế trong năm chưa ghi nhận thuế hoãn lại,Các khoản điều chỉnh: > Lỗ thuế trong năm chưa ghi nhận thuế hoãn lại,Lỗ thuế trong năm chưa ghi nhận thuế hoãn lại,1.467.656.207,1.068.973.522,1467656207.0,1068973522.0
Điều chỉnh thuế TNDN trích thiếu,Điều chỉnh thuế TNDN trích thiếu,Điều chỉnh thuế TNDN trích thiếu,,,,
trong những năm trước,Điều chỉnh thuế TNDN trích thiếu > trong những năm trước,trong những năm trước,185.620.170,844.724.187,185620170.0,844724187.0
Phân bổ lợi thể thương mại,Điều chỉnh thuế TNDN trích thiếu > Phân bổ lợi thể thương mại,Phân bổ lợi thể thương mại,166.635.971,13.886.331,166635971.0,13886331.0
Thu nhập đã bị đánh thuế trong các kỳ trước,Điều chỉnh thuế TNDN trích thiếu > Thu nhập đã bị đánh thuế trong các kỳ trước,Thu nhập đã bị đánh thuế trong các kỳ trước,(2.721.324.500),-,-2721324500.0,
Lỗ thuế năm trước chuyển sang,Điều chỉnh thuế TNDN trích thiếu > Lỗ thuế năm trước chuyển sang,Lỗ thuế năm trước chuyển sang,(457.187.324),-,-457187324.0,
Khác,Điều chỉnh thuế TNDN trích thiếu > Khác,Khác,470.470.700,-,470470700.0,
Chi phí thuế TNDN,Điều chỉnh thuế TNDN trích thiếu > Chi phí thuế TNDN,Chi phí thuế TNDN,415.527.659.344,273.296.308.448,415527659344.0,273296308448.0
