row_label_raw,row_label_full,Khách hàng Dự án Khu đỏ thị mới Nam Vĩnh Yên (i),31/12/2022VND > 429.828.320.169,01/01/2022VND > 378.731.652.827,numeric__31/12/2022VND > 429.828.320.169,numeric__01/01/2022VND > 378.731.652.827
Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,276.497.899.593,373.095.666.620,276497899593.0,373095666620.0
Khách hàng Dự án Khu căn họ cao cấp DIC Phoenix,Khách hàng Dự án Khu căn họ cao cấp DIC Phoenix,Khách hàng Dự án Khu căn họ cao cấp DIC Phoenix,108.347.184.716,130.062.836.683,108347184716.0,130062836683.0
Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,22.956.895.041,22.717.503.041,22956895041.0,22717503041.0
khách hàng Dự án DIC Star Aparts Hotel Vũng Tàu-CSJ,khách hàng Dự án DIC Star Aparts Hotel Vũng Tàu-CSJ,khách hàng Dự án DIC Star Aparts Hotel Vũng Tàu-CSJ,32.408.117.844,25.722.176.143,32408117844.0,25722176143.0
Công ty CP Green Mark Construction,Công ty CP Green Mark Construction,Công ty CP Green Mark Construction,80.196.899.741,46.324.105.353,80196899741.0,46324105353.0
Công ty TNHH Logistics Cái Mép,Công ty TNHH Logistics Cái Mép,Công ty TNHH Logistics Cái Mép,79.044.583.162,38.973.811.580,79044583162.0,38973811580.0
Phải thu ngắn hạn của khách hàng khác (ii),Phải thu ngắn hạn của khách hàng khác (ii),Phải thu ngắn hạn của khách hàng khác (ii),189.990.355.976,160.808.440.959,189990355976.0,160808440959.0
Cộng,Cộng,Cộng,1.219.270.256.242,1.176.436.193.206,1219270256242.0,1176436193206.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu bên thứ ba,Trong đó: > Phải thu bên thứ ba,Phải thu bên thứ ba,1.212.951.587.414,1.166.553.375.196,1212951587414.0,1166553375196.0
Phải thu bên liên quan (Thuyết minh VIII.2),Trong đó: > Phải thu bên liên quan (Thuyết minh VIII.2),Phải thu bên liên quan (Thuyết minh VIII.2),6.318.668.828,9.882.818.010,6318668828.0,9882818010.0
