row_label_raw,row_label_full,col_0,col_1,31/12/2022VND,01/01/2022VND,numeric__col_1,numeric__31/12/2022VND,numeric__01/01/2022VND
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,153.104.454.981,133.987.830.164,,153104454981.0,133987830164.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,150.104.454.981,130.987.830.164,,150104454981.0,130987830164.0
Công ty CP Đầu tư phát triển,Công ty CP Đầu tư phát triển,Công ty CP Đầu tư phát triển,Lãi vay phải thu,65.355.592.136,43.342.910.627,,65355592136.0,43342910627.0
Phương Nam,Phương Nam,Phương Nam,Ký quỹ,84.748.862.845,87.191.647.357,,84748862845.0,87191647357.0
Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Cổ tức phải thu,-,453.272.180,,,453272180.0
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Chi hộ,30.000.000,-,,30000000.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,3.000.000.000,3.000.000.000,,3000000000.0,3000000000.0
Công ty CP Đầu tư Thương mại DIC,Công ty CP Đầu tư Thương mại DIC,Công ty CP Đầu tư Thương mại DIC,Hợp đồng hợp tác kinh doanh,3.000.000.000,3.000.000.000,,3000000000.0,3000000000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,38.727.569.177,98.724.226.675,,38727569177.0,98724226675.0
Công ty CP Xây dựng DIC Số 4,Công ty CP Xây dựng DIC Số 4,Công ty CP Xây dựng DIC Số 4,Chi phí xây dựng,18.153.147.923,19.990.277.504,,18153147923.0,19990277504.0
Công ty CP Đầu tư Phát triển Xây dựng Bê Tông,Công ty CP Đầu tư Phát triển Xây dựng Bê Tông,Công ty CP Đầu tư Phát triển Xây dựng Bê Tông,Chi phí xây dựng,18.842.696.320,5.440.696.450,,18842696320.0,5440696450.0
Công ty CP bất động sản DIC,Công ty CP bất động sản DIC,Công ty CP bất động sản DIC,Chi phí môi giới,1.161.132.144,73.050.060.525,,1161132144.0,73050060525.0
Công ty CP Đầu tư Phát triển,Công ty CP Đầu tư Phát triển,Công ty CP Đầu tư Phát triển,Sử dụng dịch vụ,570.592.790,243.192.196,,570592790.0,243192196.0
Phương Nam,Phương Nam,Phương Nam,Phương Nam,Phương Nam,Phương Nam,,,
Phải trả khác,Phương Nam > Phải trả khác,Phải trả khác,Phải trả khác,35.953.603.289,35.918.389,,35953603289.0,35918389.0
Công ty CP Xây dựng DIC Holdings,Phương Nam > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Chi phí khác,35.869.256.400,-,,35869256400.0,
Công ty CP Vật liệu xây dựng DIC,Phương Nam > Công ty CP Vật liệu xây dựng DIC,Công ty CP Vật liệu xây dựng DIC,Chi phí khác,60.180.000,-,,60180000.0,
Công ty CP bất động sản DIC,Phương Nam > Công ty CP bất động sản DIC,Công ty CP bất động sản DIC,Chi phí khác,24.166.889,35.918.389,,24166889.0,35918389.0
