row_label_raw,row_label_full,col_0,31/12/2022,31/12/2022_1,01/01/2022,01/01/2022_1,numeric__31/12/2022,numeric__31/12/2022_1,numeric__01/01/2022,numeric__01/01/2022_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Bất động sản đang xây dựng (*),Bất động sản đang xây dựng (*),Bất động sản đang xây dựng (*),5.673.146.084.241,-,3.546.213.482.644,-,5673146084241.0,,3546213482644.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,98.853.671.526,-,123.176.888.652,-,98853671526.0,,123176888652.0,
Thành phẩm bất động sản,Thành phẩm bất động sản,Thành phẩm bất động sản,22.109.599.529,-,46.386.951.092,-,22109599529.0,,46386951092.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",71.283.324.366,(2.433.505.584),76.963.069.897,(3.912.141.122),71283324366.0,-2433505584.0,76963069897.0,-3912141122.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",15.619.620.209,-,15.890.950.418,-,15619620209.0,,15890950418.0,
Thành phẩm,Thành phẩm,Thành phẩm,41.957.925.315,-,38.467.254.926,-,41957925315.0,,38467254926.0,
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,256.354.182,,-,-,256354182.0,,,
Hàng hoá,Hàng hoá,Hàng hoá,2.510.678.454,-,1.109.507.373,-,2510678454.0,,1109507373.0,
Cộng,Cộng,Cộng,5.925.737.257.822,(2.433.505.584),3.848.208.105.002,(3.912.141.122),5925737257822.0,-2433505584.0,3848208105002.0,-3912141122.0
