row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2022,01/01/2022,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022,numeric__01/01/2022
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,6.953.061.220.803,9.175.421.701.435,300.0,,6953061220803.0,9175421701435.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,3.945.743.304.514,4.670.430.680.530,310.0,,3945743304514.0,4670430680530.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,V.15,420.025.240.538,288.164.675.704,311.0,,420025240538.0,288164675704.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,V.16,1.465.406.822.828,1.741.492.216.996,312.0,,1465406822828.0,1741492216996.0
3. Thuế và các khoản phải nộp nhà nước,3. Thuế và các khoản phải nộp nhà nước,3. Thuế và các khoản phải nộp nhà nước,313,V.17,91.019.630.938,341.425.092.343,313.0,,91019630938.0,341425092343.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,37.385.617.689,30.673.343.744,314.0,,37385617689.0,30673343744.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,V.18,216.836.539.272,146.406.705.834,315.0,,216836539272.0,146406705834.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,V.19,57.035.413.168,56.134.028.642,318.0,,57035413168.0,56134028642.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,V.20,583.380.274.169,1.428.251.872.080,319.0,,583380274169.0,1428251872080.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,V.22,1.006.741.204.345,611.201.075.313,320.0,,1006741204345.0,611201075313.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,,1.493.234.728,-,321.0,,1493234728.0,
"10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi",322,,66.419.326.839,26.681.669.874,322.0,,66419326839.0,26681669874.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,3.007.317.916.289,4.504.991.020.905,330.0,,3007317916289.0,4504991020905.0
1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,336,V.19,117.817.043.372,121.191.279.364,336.0,,117817043372.0,121191279364.0
2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,337,V.20,20.106.000.000,20.054.120.000,337.0,,20106000000.0,20054120000.0
3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,338,V.22,2.838.326.830.713,4.295.452.475.499,338.0,,2838326830713.0,4295452475499.0
4. Thuế thu nhập hoãn lại phải trả,4. Thuế thu nhập hoãn lại phải trả,4. Thuế thu nhập hoãn lại phải trả,341,"V.21, VI.11",28.582.175.875,63.272.314.440,341.0,,28582175875.0,63272314440.0
