row_label_raw,row_label_full,Số dư đầu năm > Lợi nhuận thuần phân bổ cho cổ đông không kiểm soát trong năm,Năm nayVND > 207.233.015.560 > 47.237.777.683,Năm trướcVND > 57.585.629.424 > 3.786.992.001,numeric__Năm nayVND > 207.233.015.560 > 47.237.777.683,numeric__Năm trướcVND > 57.585.629.424 > 3.786.992.001
Tăng/(giảm) vốn của cổ đông không kiểm soát,Tăng/(giảm) vốn của cổ đông không kiểm soát,Tăng/(giảm) vốn của cổ đông không kiểm soát,2.905.000.000,(3.100.000.000),2905000000.0,-3100000000.0
Tăng/(giảm) do thay đổi tỷ lệ lợi ích trong năm,Tăng/(giảm) do thay đổi tỷ lệ lợi ích trong năm,Tăng/(giảm) do thay đổi tỷ lệ lợi ích trong năm,243.531.573,(57.435.847.559),243531573.0,-57435847559.0
"Tăng do mua mới, thành lập công ty con","Tăng do mua mới, thành lập công ty con","Tăng do mua mới, thành lập công ty con",-,209.115.101.880,,209115101880.0
Giảm do chia cổ tức,Giảm do chia cổ tức,Giảm do chia cổ tức,-,(629.100.000),,-629100000.0
"Giảm do trích quỹ khen thưởng, phúc lợi","Giảm do trích quỹ khen thưởng, phúc lợi","Giảm do trích quỹ khen thưởng, phúc lợi",(895.050.962),(2.089.760.186),-895050962.0,-2089760186.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,256.724.273.854,207.233.015.560,256724273854.0,207233015560.0
