row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Công ty CP Đầu tư Phát triển Phương Nam,Doanh thu > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,Cung cấp dịch vụ,472.139.649,-,,,472139649.0,
Công ty CP bất động sản D.I.C,Doanh thu > Công ty CP bất động sản D.I.C,Công ty CP bất động sản D.I.C,Công ty liên kết,Cung cấp dịch vụ,26.487.976,-,,,26487976.0,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,,
Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,,,,
Công ty CP bất động sản D.I.C,Các hoạt động khác > Công ty CP bất động sản D.I.C,Công ty CP bất động sản D.I.C,Công ty liên kết,Chi phí môi giới,39.716.061.062,205.949.513.016,,,39716061062.0,205949513016.0
Công ty CP bất động sản D.I.C,Các hoạt động khác > Công ty CP bất động sản D.I.C,Công ty CP bất động sản D.I.C,Công ty liên kết,Chi phí dịch vụ,27.600.000,-,,,27600000.0,
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty liên kết,Chi phí xây dựng,2.953.961.596,24.923.147.810,,,2953961596.0,24923147810.0
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty liên kết,Cổ tức cổ phiếu,8.972.060.000,-,,,8972060000.0,
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,Chi phí dịch vụ,2.497.213.522,1.609.648.023,,,2497213522.0,1609648023.0
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,Lãi cho vay,21.687.526.713,8.158.801.094,,,21687526713.0,8158801094.0
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,Cho vay,-,9.000.000.000,,,,9000000000.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty liên kết,Cổ tức bằng tiền,-,2.519.988.000,,,,2519988000.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty liên kết,Cổ tức bằng cổ phiếu,12.599.940.000,-,,,12599940000.0,
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty liên kết,"Mua hàng hóa, dịch vụ",15.380.299.002,18.507.574.300,,,15380299002.0,18507574300.0
