row_label_raw,row_label_full,col_0,Công ty CP bất động sản DIC,Công ty CP Đầu tư Phát triển Xây dựng Bê Tông,Công ty CP Xây dựng DIC Holdings,Công ty CP Đầu tư Phát triển Phương Nam,Cộng,numeric__Công ty CP bất động sản DIC,numeric__Công ty CP Đầu tư Phát triển Xây dựng Bê Tông,numeric__Công ty CP Xây dựng DIC Holdings,numeric__Công ty CP Đầu tư Phát triển Phương Nam,numeric__Cộng
Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,,,,,
Vào ngày 31/12/2021,Giá gốc khoản đầu tư > Vào ngày 31/12/2021,Vào ngày 31/12/2021,19.938.000.000,17.982.564.000,171.602.184.500,225.400.000.000,434.922.748.500,19938000000.0,17982564000.0,171602184500.0,225400000000.0,434922748500.0
Tăng trong năm,Giá gốc khoản đầu tư > Tăng trong năm,Tăng trong năm,-,12.599.940.000,-,-,12.599.940.000,,12599940000.0,,,12599940000.0
Thanh lý trong năm,Thanh lý trong năm,Thanh lý trong năm,-,-,-,-,-,,,,,
Vào ngày 31/12/2022,Thanh lý trong năm > Vào ngày 31/12/2022,Vào ngày 31/12/2022,19.938.000.000,30.582.504.000,171.602.184.500,225.400.000.000,447.522.688.500,19938000000.0,30582504000.0,171602184500.0,225400000000.0,447522688500.0
Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,,,,,
Vào ngày 31/12/2021,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Vào ngày 31/12/2021,Vào ngày 31/12/2021,29.593.774.541,15.822.737.325,43.677.869.713,(225.400.000.000),(136.305.618.421),29593774541.0,15822737325.0,43677869713.0,-225400000000.0,-136305618421.0
Lợi nhuận (lỗ) được chia,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Lợi nhuận (lỗ) được chia,Lợi nhuận (lỗ) được chia,7.838.650.416,408.169.762,(2.437.775.320),-,5.809.044.858,7838650416.0,408169762.0,-2437775320.0,,5809044858.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,,,,,
Vào ngày 31/12/2022,Cổ tức > Vào ngày 31/12/2022,Vào ngày 31/12/2022,37.432.424.957,16.230.907.087,41.240.094.393,(225.400.000.000),(130.496.573.563),37432424957.0,16230907087.0,41240094393.0,-225400000000.0,-130496573563.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Vào ngày 31/12/2021,Giá trị còn lại > Vào ngày 31/12/2021,Vào ngày 31/12/2021,49.531.774.541,33.805.301.325,215.280.054.213,-,298.617.130.079,49531774541.0,33805301325.0,215280054213.0,,298617130079.0
Vào ngày 31/12/2022,Giá trị còn lại > Vào ngày 31/12/2022,Vào ngày 31/12/2022,57.370.424.957,46.813.411.087,212.842.278.893,-,317.026.114.937,57370424957.0,46813411087.0,212842278893.0,,317026114937.0
