row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,583.329.236.207,322.636.251.594,82.221.447.562,8.170.374.200,20.145.415.030,1.016.502.724.593,583329236207.0,322636251594.0,82221447562.0,8170374200.0,20145415030.0,1016502724593.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,4.318.046.922,8.468.669.095,854.446.778,233.013.789,13.874.176.584,,4318046922.0,8468669095.0,854446778.0,233013789.0,13874176584.0
Đầu tư xây dựng có bản hoàn thành,Nguyên giá > Đầu tư xây dựng có bản hoàn thành,Đầu tư xây dựng có bản hoàn thành,1.824.798.603,-,-,608.227.758,190.688.490,2.623.714.851,1824798603.0,,,608227758.0,190688490.0,2623714851.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.930.423.628),(3.039.047.734),(1.226.711.597),(213.369.112),(7.409.552.071),,-2930423628.0,-3039047734.0,-1226711597.0,-213369112.0,-7409552071.0
Khác,Nguyên giá > Khác,Khác,-,(21.895.435),71.636.364,-,-,49.740.929,,-21895435.0,71636364.0,,,49740929.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,585.154.034.810,324.001.979.453,87.722.705.287,8.406.337.139,20.355.748.197,1.025.640.804.886,585154034810.0,324001979453.0,87722705287.0,8406337139.0,20355748197.0,1025640804886.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,75.310.072.156,183.623.718.493,43.953.206.519,6.375.070.535,5.357.120.253,314.619.187.956,75310072156.0,183623718493.0,43953206519.0,6375070535.0,5357120253.0,314619187956.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,14.726.708.073,18.956.465.544,6.611.279.093,1.043.628.455,2.178.823.381,43.516.904.546,14726708073.0,18956465544.0,6611279093.0,1043628455.0,2178823381.0,43516904546.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.930.423.628),(2.607.135.818),(1.164.909.397),(131.162.646),(6.833.631.489),,-2930423628.0,-2607135818.0,-1164909397.0,-131162646.0,-6833631489.0
Khác,Giá trị hao mòn lũy kế > Khác,Khác,-,(21.895.435),-,-,-,(21.895.435),,-21895435.0,,,,-21895435.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,90.036.780.229,199.627.864.974,47.957.349.794,6.253.789.593,7.404.780.988,351.280.565.578,90036780229.0,199627864974.0,47957349794.0,6253789593.0,7404780988.0,351280565578.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,508.019.164.051,139.012.533.101,38.268.241.043,1.795.303.665,14.788.294.777,701.883.536.637,508019164051.0,139012533101.0,38268241043.0,1795303665.0,14788294777.0,701883536637.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,495.117.254.581,124.374.114.479,39.765.355.493,2.152.547.546,12.950.967.209,674.360.239.308,495117254581.0,124374114479.0,39765355493.0,2152547546.0,12950967209.0,674360239308.0
