row_label_raw,row_label_full,Đầu tư vào công ty liên kết,Tỷ lệ %,Giá gốc VND,Tỷ lệ %_1,Giá gốc VND_1,numeric__Tỷ lệ %,numeric__Giá gốc VND,numeric__Tỷ lệ %_1,numeric__Giá gốc VND_1
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,"40,01",212.842.278.893,"40,01",215.280.054.213,40.01,212842278893.0,40.01,215280054213.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,36,46.813.411.087,36,33.805.301.325,36.0,46813411087.0,36.0,33805301325.0
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,"42,68",57.370.424.957,"42,68",49.531.774.541,42.68,57370424957.0,42.68,49531774541.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,"43,35",-,"43,35",-,43.35,,43.35,
Cộng,Cộng,Cộng,,317.026.114.937,,298.617.130.079,,317026114937.0,,298617130079.0
