row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Kinh doanh bắt động sản VND,Thương mại và dịch vụ VND,Xây dựng VND,Loại trừ nội bộ VND,Tổng cộng VND,numeric__Kinh doanh bắt động sản VND,numeric__Thương mại và dịch vụ VND,numeric__Xây dựng VND,numeric__Loại trừ nội bộ VND,numeric__Tổng cộng VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,2.026.683.268.449,109.667.415.048,656.128.725.346,(223.790.564.404),2.568.688.844.439,2026683268449.0,109667415048.0,656128725346.0,-223790564404.0,2568688844439.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,(1.233.238.788.502),(93.671.433.556),(624.925.116.392),222.636.623.495,(1.729.198.714.955),-1233238788502.0,-93671433556.0,-624925116392.0,222636623495.0,-1729198714955.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,793.444.479.947,15.995.981.492,31.203.608.954,(1.153.940.909),839.490.129.484,793444479947.0,15995981492.0,31203608954.0,-1153940909.0,839490129484.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,(351.673.691.389),,,,,-351673691389.0
Thu nhập tài chính,Thu nhập tài chính,Thu nhập tài chính,,,,,36.549.319.322,,,,,36549319322.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(107.050.252.422),,,,,-107050252422.0
Lỗ trong công ty liên kết,Lỗ trong công ty liên kết,Lỗ trong công ty liên kết,,,,,66.710.007.939,,,,,66710007939.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,886.742.886.827,,,,,886742886827.0
Chí phí khác,Chí phí khác,Chí phí khác,,,,,(89.211.450.948),,,,,-89211450948.0
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,,(291.120.609.581),,,,,-291120609581.0
Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,(495.066.446),,,,,-495066446.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,989.941.272.786,,,,,989941272786.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,,,,,3.786.992.001,,,,,3786992001.0
Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,,,,,986.154.280.785,,,,,986154280785.0
Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,7.492.481.004.720,27.118.737.284,695.322.819.106,(331.925.200.109),7.882.997.361.001,7492481004720.0,27118737284.0,695322819106.0,-331925200109.0,7882997361001.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,8.963.907.279.869,,,,,8963907279869.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,16.846.904.640.870,,,,,16846904640870.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,8.420.975.708.873,38.265.248.634,510.427.431.645,(281.374.059.720),8.688.294.329.432,8420975708873.0,38265248634.0,510427431645.0,-281374059720.0,8688294329432.0
Công nợ không phân bổ,Tài sản và công nợ > Công nợ không phân bổ,Công nợ không phân bổ,,,,,487.127.372.003,,,,,487127372003.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,9.175.421.701.435,,,,,9175421701435.0
