row_label_raw,row_label_full,Cá nhân,Số dư cuối năm VND,Lãi suất (%/năm),Tài sản đảm bảo,numeric__Số dư cuối năm VND,numeric__Lãi suất (%/năm),numeric__Tài sản đảm bảo
Ông Đào Thanh Phương,Ông Đào Thanh Phương,Ông Đào Thanh Phương,189.500.000.000,"6,0%",Tín chấp,189500000000.0,0.06,
Vay cá nhân khác,Vay cá nhân khác,Vay cá nhân khác,27.312.819.993,6%-10%,Tín chấp,27312819993.0,,
Cộng,Cộng,Cộng,216.812.819.993,,,216812819993.0,,
