row_label_raw,row_label_full,col_0,01/01/2022VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,31/12/2022VND,numeric__01/01/2022VND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp trong nămVND,numeric__31/12/2022VND
Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,341.425.092.343,182.405.155.670,432.810.617.075,91.019.630.938,341425092343.0,182405155670.0,432810617075.0,91019630938.0
Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,6.381.447.553,38.772.319.282,38.707.332.106,6.446.434.729,6381447553.0,38772319282.0,38707332106.0,6446434729.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,60.027.274,593.950.010,601.980.314,51.996.970,60027274.0,593950010.0,601980314.0,51996970.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,91.352.030,91.352.030,-,,91352030.0,91352030.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,244.664.842.871,41.429.529.642,257.135.449.491,28.958.923.022,244664842871.0,41429529642.0,257135449491.0,28958923022.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.427.703.164,5.994.499.424,7.711.343.245,710.859.343,2427703164.0,5994499424.0,7711343245.0,710859343.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,(16.475.821.974),16.197.033.961,44.554.225.547,51.284.443.560,-16475821974.0,16197033961.0,44554225547.0,51284443560.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,104.366.893.455,79.053.896.559,83.736.359.580,3.566.973.314,104366893455.0,79053896559.0,83736359580.0,3566973314.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,-,272.574.762,272.574.762,-,,272574762.0,272574762.0,
Thuế phải thu,Thuế phải thu,Thuế phải thu,16.183.788.960,12.924.814.766,9.777.607.748,13.036.581.942,16183788960.0,12924814766.0,9777607748.0,13036581942.0
Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,16.141.225.351,12.894.107.302,9.727.268.519,12.974.386.568,16141225351.0,12894107302.0,9727268519.0,12974386568.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,13.771.384,1.915.239,10.286.760,22.142.905,13771384.0,1915239.0,10286760.0,22142905.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,28.732.325,28.732.325,40.052.469,40.052.469,28732325.0,28732325.0,40052469.0,40052469.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,59.900,59.900,-,-,59900.0,59900.0,,
