row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,23.460.827.470,1.691.999.000,25.152.826.470,23460827470.0,1691999000.0,25152826470.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,20.401.500.000,387.147.404,20.788.647.404,20401500000.0,387147404.0,20788647404.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(527.737.000),(527.737.000),,-527737000.0,-527737000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,43.862.327.470,1.551.409.404,45.413.736.874,43862327470.0,1551409404.0,45413736874.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,1.452.060.213,610.084.628,2.062.144.841,1452060213.0,610084628.0,2062144841.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,142.870.476,296.887.862,439.758.338,142870476.0,296887862.0,439758338.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(187.791.596),(187.791.596),,-187791596.0,-187791596.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.594.930.689,719.180.894,2.314.111.583,1594930689.0,719180894.0,2314111583.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,22.008.767.257,1.081.914.372,23.090.681.629,22008767257.0,1081914372.0,23090681629.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,42.267.396.781,832.228.510,43.099.625.291,42267396781.0,832228510.0,43099625291.0
