row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,VNDTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,4.242.654.542,23.468.244.085,27.710.898.627,4242654542.0,23468244085.0,27710898627.0
Mua mới,Nguyên giá > Mua mới,Mua mới,2.900.208.000,3.563.938.545,6.464.146.545,2900208000.0,3563938545.0,6464146545.0
Phân loại lại sang hàng tồn kho,Nguyên giá > Phân loại lại sang hàng tồn kho,Phân loại lại sang hàng tồn kho,(903.066.700),-,(903.066.700),-903066700.0,,-903066700.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,6.239.795.842,27.032.182.630,33.271.978.472,6239795842.0,27032182630.0,33271978472.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,3.301.132.387,3.066.637.720,6.367.770.107,3301132387.0,3066637720.0,6367770107.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(3.303.038.503),(7.879.741.473),(11.182.779.976),-3303038503.0,-7879741473.0,-11182779976.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(809.320.849),(3.577.083.018),(4.386.403.867),-809320849.0,-3577083018.0,-4386403867.0
Phân loại lại sang hàng tồn kho,Giá trị khấu hao lũy kế > Phân loại lại sang hàng tồn kho,Phân loại lại sang hàng tồn kho,301.022.232,-,301.022.232,301022232.0,,301022232.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(3.811.337.120),(11.456.824.491),(15.268.161.611),-3811337120.0,-11456824491.0,-15268161611.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,939.616.039,15.588.502.612,16.528.118.651,939616039.0,15588502612.0,16528118651.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.428.458.722,15.575.358.139,18.003.816.861,2428458722.0,15575358139.0,18003816861.0
