row_label_raw,row_label_full,col_0,VNDPhần mềm máy tính,numeric__VNDPhần mềm máy tính
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,3.171.378.036,3171378036.0
Trong đó:Đã hao mòn hết,Nguyên giá > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,1.968.481.036,1968481036.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,(2.126.391.146),-2126391146.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,(644.021.234),-644021234.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,(2.770.412.380),-2770412380.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.044.986.890,1044986890.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,400.965.656,400965656.0
