row_label_raw,row_label_full,Trái phiếu 1 > Trái phiếu 2 > Trái phiếu 3 > Trái phiếu 4,Số cuối năm VND > 247.244.818.637 > 49.562.500.001 > 299.219.711.113 > 108.850.000.016,Kỳ hạn trả gốc > Từ ngày 3 tháng 3 năm 2022 đến ngày 3 tháng 6 năm 2024 > Ngày 16 tháng 6 năm 2021 > Ngày 2 tháng 7 năm 2021 > Ngày 9 tháng 7 năm 2021,Mục đích > Tài trợ dự án Nhơn Hội – Bình Định > Tài trợ các dự án của Công ty và các công ty con,"Lãi suất %/năm > 10,5 cho năm thứ nhất và lãi suất tiền gửi tiết kiệm cá nhân VND kỳ hạn 24 tháng trả lãi sau của Ngân hàng TMCP Quân Đội + 3,5 cho các năm sau > 13","Hình thức đảm bảo > Quyền sử dụng đất và toàn bộ quyền tài sản thuộc Phân khu 2, dự án Nhơn Hội – Bình Định; quyền sử dụng đất tại Tĩnh Quảng Nam thuộc Công ty An Điền - đối tác kinh doanh của Công ty > 9.150.000 cổ phiếu PDR sở hữu bởi cổ đông > 25.000.000 cổ phiếu PDR sở hữu bởi cổ đông > 10.100.000 cổ phiếu PDR sở hữu bởi cổ đông",numeric__Số cuối năm VND > 247.244.818.637 > 49.562.500.001 > 299.219.711.113 > 108.850.000.016,numeric__Kỳ hạn trả gốc > Từ ngày 3 tháng 3 năm 2022 đến ngày 3 tháng 6 năm 2024 > Ngày 16 tháng 6 năm 2021 > Ngày 2 tháng 7 năm 2021 > Ngày 9 tháng 7 năm 2021,numeric__Mục đích > Tài trợ dự án Nhơn Hội – Bình Định > Tài trợ các dự án của Công ty và các công ty con,"numeric__Lãi suất %/năm > 10,5 cho năm thứ nhất và lãi suất tiền gửi tiết kiệm cá nhân VND kỳ hạn 24 tháng trả lãi sau của Ngân hàng TMCP Quân Đội + 3,5 cho các năm sau > 13","numeric__Hình thức đảm bảo > Quyền sử dụng đất và toàn bộ quyền tài sản thuộc Phân khu 2, dự án Nhơn Hội – Bình Định; quyền sử dụng đất tại Tĩnh Quảng Nam thuộc Công ty An Điền - đối tác kinh doanh của Công ty > 9.150.000 cổ phiếu PDR sở hữu bởi cổ đông > 25.000.000 cổ phiếu PDR sở hữu bởi cổ đông > 10.100.000 cổ phiếu PDR sở hữu bởi cổ đông"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,704.877.029.767,,,,,704877029767.0,,,,
Trong đó: Ngắn hạn Dải hạn,Trong đó: Ngắn hạn Dải hạn,Trong đó: Ngắn hạn Dải hạn,457.632.211.129247.244.818.638,,,,,4.576322111292473e+23,,,,
