row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
AKYN,Phải thu ngắn hạn của khách hàng > AKYN,AKYN,Bên liên quan của Chủ tịch,Chuyển nhượng cổ phần,50.000.000.000,45.000.000.000,,,50000000000.0,45000000000.0
AKYN,Phải thu ngắn hạn của khách hàng > AKYN,AKYN,Bên liên quan của Chủ tịch,Cung cấp dịch vụ,1.148.400.000,544.357.744,,,1148400000.0,544357744.0
AKYN,Phải thu ngắn hạn của khách hàng > AKYN,AKYN,Bên liên quan của Chủ tịch,Bán căn hộ,-,18.288.000.000,,,,18288000000.0
Sài Gòn – KLĐK Phú Quốc,Phải thu ngắn hạn của khách hàng > Sài Gòn – KLĐK Phú Quốc,Sài Gòn – KLĐK Phú Quốc,Công ty con,Cung cấp dịch vụ,2.930.400.000,-,,,2930400000.0,
Sài Gòn – KLĐK Phú Quốc,Phải thu ngắn hạn của khách hàng > Sài Gòn – KLĐK Phú Quốc,Sài Gòn – KLĐK Phú Quốc,Công ty con,Cung cấp dịch vụ,1.949.232.537,2.593.922.985,,,1949232537.0,2593922985.0
Bà Đoàn Thị Tráng,Phải thu ngắn hạn của khách hàng > Bà Đoàn Thị Tráng,Bà Đoàn Thị Tráng,Bên liên quan của Chủ tịch,Chuyển nhượng bất động sản,-,15.000.000.000,,,,15000000000.0
Ông BùiQuang Anh Vũ,Phải thu ngắn hạn của khách hàng > Ông BùiQuang Anh Vũ,Ông BùiQuang Anh Vũ,Tổng Giám đốc,Chuyển nhượng bất động sản,-,10.306.377.900,,,,10306377900.0
Bà Trần Thị Hường,Phải thu ngắn hạn của khách hàng > Bà Trần Thị Hường,Bà Trần Thị Hường,Phó Chủ tịch HDQT,Chuyển nhượng bất động sản,-,10.276.238.400,,,,10276238400.0
,,,,,56.028.032.537,102.008.897.029,,,56028032537.0,102008897029.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,,,,
AKYN,Phải thu dài hạn của khách hàng > AKYN,AKYN,Bên liên quan của Chủ tịch,Chuyển nhượng cổ phần,50.000.000.000,100.000.000.000,,,50000000000.0,100000000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
AKYN,Phải thu ngắn hạn khác > AKYN,AKYN,Bên liên quan của Chủ tịch,Vốn góp từ việc thanh lý HDHTĐT,10.000.000.000,-,,,10000000000.0,
Bến Thành – Long Hải,Phải thu ngắn hạn khác > Bến Thành – Long Hải,Bến Thành – Long Hải,Công ty con,Tạm ứng phát triển dự án,315.026.000,-,,,315026000.0,
Bà Đoàn Thị Tráng,Phải thu ngắn hạn khác > Bà Đoàn Thị Tráng,Bà Đoàn Thị Tráng,Bên liên quan của Chủ tịch,Chi hộ,-,15.090.462.988,,,,15090462988.0
,,,,,10.315.026.000,15.090.462.988,,,10315026000.0,15090462988.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Sài Gòn - KL,Phải thu dài hạn khác > Sài Gòn - KL,Sài Gòn - KL,Công ty con,Tạm ứng phát triển dự án,516.396.990.000,259.690.000.000,,,516396990000.0,259690000000.0
Coinin,Phải thu dài hạn khác > Coinin,Coinin,Công ty con,Tạm ứng phát triển dự án,66.201.748.812,19.676.748.812,,,66201748812.0,19676748812.0
ĐK Phú Quốc,Phải thu dài hạn khác > ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Tạm ứng phát triển dự án,40.143.900.000,39.443.900.000,,,40143900000.0,39443900000.0
AKYN,Phải thu dài hạn khác > AKYN,AKYN,Bên liên quan của Chủ tịch,Vốn góp từ việc thanh lý HDHTĐT,40.000.000.000,100.939.751.900,,,40000000000.0,100939751900.0
,,,,,662.742.638.812,419.750.400.712,,,662742638812.0,419750400712.0
