row_label_raw,row_label_full,col_0,Số ngày quá hạn,31/12/2025 (VND) > Giá gốc,31/12/2025 (VND) > Dự phòng,31/12/2025 (VND) > Giá trị có thể thu hồi,Số ngày quá hạn_1,01/01/2025 (VND) > Giá gốc,01/01/2025 (VND) > Dự phòng,01/01/2025 (VND) > Giá trị có thể thu hồi,numeric__Số ngày quá hạn,numeric__31/12/2025 (VND) > Giá gốc,numeric__31/12/2025 (VND) > Dự phòng,numeric__31/12/2025 (VND) > Giá trị có thể thu hồi,numeric__Số ngày quá hạn_1,numeric__01/01/2025 (VND) > Giá gốc,numeric__01/01/2025 (VND) > Dự phòng,numeric__01/01/2025 (VND) > Giá trị có thể thu hồi
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,,,,,,
Công ty Cổ phần Tô Châu,Phải thu khác > Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Trên 05 năm,88.280.243.917,(88.280.243.917),-,Trên 05 năm,88.280.243.917,(88.280.243.917),-,,88280243917.0,-88280243917.0,,,88280243917.0,-88280243917.0,
Công ty Cổ phần Lương thực Hậu Giang,Phải thu khác > Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Trên 05 năm,28.000.000.000,(28.000.000.000),-,Trên 05 năm,28.000.000.000,(28.000.000.000),-,,28000000000.0,-28000000000.0,,,28000000000.0,-28000000000.0,
Công ty Cổ phần Lương thực Quảng Ngãi,Phải thu khác > Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Trên 05 năm,3.586.838.953,(3.586.838.953),-,Trên 05 năm,3.586.838.953,(3.586.838.953),-,,3586838953.0,-3586838953.0,,,3586838953.0,-3586838953.0,
Doanh nghiệp tư nhân Chữ Tín,Phải thu khác > Doanh nghiệp tư nhân Chữ Tín,Doanh nghiệp tư nhân Chữ Tín,Trên 05 năm,5.297.314.070,(5.297.314.070),-,Trên 05 năm,5.297.314.070,(5.297.314.070),-,,5297314070.0,-5297314070.0,,,5297314070.0,-5297314070.0,
Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài,Phải thu khác > Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài,Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài,Trên 05 năm,9.017.732.212,(9.017.732.212),-,Trên 05 năm,9.017.732.212,(9.017.732.212),-,,9017732212.0,-9017732212.0,,,9017732212.0,-9017732212.0,
Các khách hàng khác,Phải thu khác > Các khách hàng khác,Các khách hàng khác,Trên 05 năm,8.973.859.705,(8.973.859.705),-,Trên 05 năm,9.573.859.705,(9.573.859.705),-,,8973859705.0,-8973859705.0,,,9573859705.0,-9573859705.0,
Tổng,Phải thu khác > Tổng,Tổng,,143.155.988.857,(143.155.988.857),-,,143.755.988.857,(143.755.988.857),-,,143155988857.0,-143155988857.0,,,143755988857.0,-143755988857.0,
Tài sản thiếu chờ xử lý,Phải thu khác > Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,,648.878.585.812,(648.878.585.812),-,,649.082.043.143,(649.082.043.143),-,,648878585812.0,-648878585812.0,,,649082043143.0,-649082043143.0,
Tổng,Phải thu khác > Tổng,Tổng,,1.309.964.670.774,(1.309.964.670.774),-,,1.324.216.488.117,(1.323.912.263.535),304.224.582,,1309964670774.0,-1309964670774.0,,,1324216488117.0,-1323912263535.0,304224582.0
