row_label_raw,row_label_full,Ông Nguyễn Huy Hưng,Chủ tịch,numeric__Chủ tịch
Ông Lưu Nguyễn Chí Nhân,Ông Lưu Nguyễn Chí Nhân,Ông Lưu Nguyễn Chí Nhân,Phó Chủ tịch,
Bà Hồ Thị Cẩm Vân,Bà Hồ Thị Cẩm Vân,Bà Hồ Thị Cẩm Vân,Thành viên,
Ông Trần Tấn Đức,Ông Trần Tấn Đức,Ông Trần Tấn Đức,Thành viên (Miễn nhiệm ngày 30/01/2026),
Ông Nguyễn Văn Hiền,Ông Nguyễn Văn Hiền,Ông Nguyễn Văn Hiền,Thành viên,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,
Ông Nguyễn Tuấn Vinh,Ông Nguyễn Tuấn Vinh,Ông Nguyễn Tuấn Vinh,Trường ban,
Ông Đào Trọng Hải,Ông Đào Trọng Hải,Ông Đào Trọng Hải,Thành viên,
Bà Mẫn Thị Nga,Bà Mẫn Thị Nga,Bà Mẫn Thị Nga,Thành viên,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,
Ông Trần Tấn Đức,Ông Trần Tấn Đức,Ông Trần Tấn Đức,Tổng Giám đốc (Miễn nhiệm ngày 09/12/2025),
Ông Nguyễn Văn Hiền,Ông Nguyễn Văn Hiền,Ông Nguyễn Văn Hiền,Phó Tổng Giám đốc phụ trách (Bổ nhiệm ngày 07/01/2026),
Ông Bạch Ngọc Văn,Ông Bạch Ngọc Văn,Ông Bạch Ngọc Văn,Phó Tổng Giám đốc,
Ông Trần Hoàng Ngân,Ông Trần Hoàng Ngân,Ông Trần Hoàng Ngân,Phó Tổng Giám đốc,
