row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Tính chất giao dịch,Năm 2025 VND,Năm 2024 VND,numeric__Mối quan hệ,numeric__Tính chất giao dịch,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Các giao dịch bán hàng,Các giao dịch bán hàng,Các giao dịch bán hàng,,,413.249.228.083,97.976.592.332,,,413249228083.0,97976592332.0
Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty con,Bán hàng,5.722.222,5.775.930,,,5722222.0,5775930.0
Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty con,Bán hàng,150.418.330.000,-,,,150418330000.0,
Công ty cổ phần Xuất nhập khẩu Kiên Giang,Công ty cổ phần Xuất nhập khẩu Kiên Giang,Công ty cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,Bán hàng,197.085.010.609,55.025.644.470,,,197085010609.0,55025644470.0
Công ty Cổ phần Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực thực phẩm,Công ty con,Bán hàng,1.049.196.762,48.306.949,,,1049196762.0,48306949.0
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty con,Bán hàng,32.529.632,23.885.446,,,32529632.0,23885446.0
Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty con,Bán hàng,11.285.988.888,12.596.506.944,,,11285988888.0,12596506944.0
Công ty Cổ phần Sài Gòn Lương thực,Công ty Cổ phần Sài Gòn Lương thực,Công ty Cổ phần Sài Gòn Lương thực,Công ty con,Bán hàng,6.552.095.711,9.944.444,,,6552095711.0,9944444.0
Công ty CP Lương thực thực phẩm Colusa - Miliket,Công ty CP Lương thực thực phẩm Colusa - Miliket,Công ty CP Lương thực thực phẩm Colusa - Miliket,Công ty liên kết,Bán hàng,46.820.354.259,30.266.528.149,,,46820354259.0,30266528149.0
CTCP XNK NSTP An Giang,CTCP XNK NSTP An Giang,CTCP XNK NSTP An Giang,Công ty con,Bán hàng,-,-,,,,
Các giao dịch mua hàng,CTCP XNK NSTP An Giang > Các giao dịch mua hàng,Các giao dịch mua hàng,,,157.244.622.694,269.830.818.834,,,157244622694.0,269830818834.0
Công ty Cổ phần Bao bì Tiền Giang,CTCP XNK NSTP An Giang > Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty con,Mua hàng,22.578.631.500,24.468.153.990,,,22578631500.0,24468153990.0
Công ty Xây lắp Cơ khí và Lương thực thực phẩm,CTCP XNK NSTP An Giang > Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty con,Mua hàng,23.562.209.570,55.705.485.111,,,23562209570.0,55705485111.0
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,CTCP XNK NSTP An Giang > Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,Mua hàng,94.406.227.124,134.670.786.000,,,94406227124.0,134670786000.0
Công ty Cổ phần Lương thực Bình Định,CTCP XNK NSTP An Giang > Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty con,Mua hàng,16.588.727.500,,,,16588727500.0,
Công ty CP Lương thực TP. HCM,CTCP XNK NSTP An Giang > Công ty CP Lương thực TP. HCM,Công ty CP Lương thực TP. HCM,Công ty con,Mua hàng,108.827.000,54.920.383.333,,,108827000.0,54920383333.0
Công ty cổ phần Lương thực thực phẩm SAFOCO,CTCP XNK NSTP An Giang > Công ty cổ phần Lương thực thực phẩm SAFOCO,Công ty cổ phần Lương thực thực phẩm SAFOCO,Công ty con,Mua hàng,-,66.010.400,,,,66010400.0
Cổ tức,CTCP XNK NSTP An Giang > Cổ tức,Cổ tức,,,30.040.425.000,56.029.729.000,,,30040425000.0,56029729000.0
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,CTCP XNK NSTP An Giang > Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,Cổ tức,3.707.340.000,7.944.300.000,,,3707340000.0,7944300000.0
Công ty Cổ phần Lương thực Bình Định,CTCP XNK NSTP An Giang > Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty con,Cổ tức,1.672.800.000,17.952.000.000,,,1672800000.0,17952000000.0
Công ty Xây lắp Cơ khí và Lương thực thực phẩm,CTCP XNK NSTP An Giang > Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty con,Cổ tức,4.203.736.000,7.760.160.000,,,4203736000.0,7760160000.0
Công ty Cổ phần Lương thực thực phẩm Safoco,CTCP XNK NSTP An Giang > Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty Cổ phần Lương thực thực phẩm Safoco,Công ty con,Cổ tức,18.539.829.000,18.539.829.000,,,18539829000.0,18539829000.0
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,CTCP XNK NSTP An Giang > Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,Cổ tức,1.916.720.000,3.833.440.000,,,1916720000.0,3833440000.0
Giao dịch khác,CTCP XNK NSTP An Giang > Giao dịch khác,Giao dịch khác,,,87.734.996,-,,,87734996.0,
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,CTCP XNK NSTP An Giang > Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,Chỉ phí ủy thác,87.734.996,-,,,87734996.0,
