row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị,dụng cụ quản lý",TSCDhữu hình khác,Tổng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCDhữu hình khác,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2025,NGUYÊN GIÁ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,2.432.563.322.066,1.675.125.420.015,137.488.668.657,42.342.502.245,11.366.579.535,4.298.886.492.518,2432563322066.0,1675125420015.0,137488668657.0,42342502245.0,11366579535.0,4298886492518.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,4.809.655.083,15.459.431.216,3.575.079.541,1.934.318.164,-,25.778.484.004,4809655083.0,15459431216.0,3575079541.0,1934318164.0,,25778484004.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,2.092.012.595,2.413.917.192,-,775.599.897,-,5.281.529.684,2092012595.0,2413917192.0,,775599897.0,,5281529684.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,2.717.642.488,13.045.514.024,3.575.079.541,1.158.718.267,-,20.496.954.320,2717642488.0,13045514024.0,3575079541.0,1158718267.0,,20496954320.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,5.638.259.413,-,111.356.973,-,-,5.749.616.386,5638259413.0,,111356973.0,,,5749616386.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",845.420.939,-,-,-,-,845.420.939,845420939.0,,,,,845420939.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,1.684.690.303,-,111.356.973,-,-,1.796.047.276,1684690303.0,,111356973.0,,,1796047276.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,3.108.148.171,-,-,-,-,3.108.148.171,3108148171.0,,,,,3108148171.0
Số dư tại 31/12/2025,NGUYÊN GIÁ > Số dư tại 31/12/2025,Số dư tại 31/12/2025,2.431.734.717.736,1.690.584.851.231,140.952.391.225,44.276.820.409,11.366.579.535,4.318.915.360.136,2431734717736.0,1690584851231.0,140952391225.0,44276820409.0,11366579535.0,4318915360136.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Số dư tại 01/01/2025,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,1.447.421.112.742,1.304.230.791.235,130.451.657.178,38.520.973.831,8.039.014.010,2.928.663.548.996,1447421112742.0,1304230791235.0,130451657178.0,38520973831.0,8039014010.0,2928663548996.0
Tăng trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tăng trong năm,Tăng trong năm,48.420.827.621,43.825.651.214,3.294.161.639,966.062.277,222.881.412,96.729.584.163,48420827621.0,43825651214.0,3294161639.0,966062277.0,222881412.0,96729584163.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,48.420.827.621,43.825.651.214,3.294.161.639,966.062.277,222.881.412,96.729.584.163,48420827621.0,43825651214.0,3294161639.0,966062277.0,222881412.0,96729584163.0
