row_label_raw,row_label_full,a. Vay,31/12/2025 > Giá trị,31/12/2025 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2025 > Giá trị,01/01/2025 > Số có khả năng trả nợ,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Số có khả năng trả nợ
Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,-,-,,,-,-,,,,,,
- VND,Ngân hàng TMCP Sài Gòn - Hà Nội > - VND,- VND,-,-,60.467.900.000,60.467.900.000,-,-,,,60467900000.0,60467900000.0,,
- USD,Ngân hàng TMCP Sài Gòn - Hà Nội > - USD,- USD,-,-,124.659.172,16.130.521.000,16.005.861.828,16.005.861.828,,,124659172.0,16130521000.0,16005861828.0,16005861828.0
Ngân hàng TNHH MTV Public Việt Nam (VND) (6),Ngân hàng TMCP Sài Gòn - Hà Nội > Ngân hàng TNHH MTV Public Việt Nam (VND) (6),Ngân hàng TNHH MTV Public Việt Nam (VND) (6),23.000.000.000,23.000.000.000,143.000.000.000,160.440.800.000,40.440.800.000,40.440.800.000,23000000000.0,23000000000.0,143000000000.0,160440800000.0,40440800000.0,40440800000.0
Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,,,,,,,,,,,,
- VND,- VND,- VND,-,-,-,-,-,-,,,,,,
- USD,- VND > - USD,- USD,-,-,86.699.799.955,102.940.271.065,16.240.471.110,16.240.471.110,,,86699799955.0,102940271065.0,16240471110.0,16240471110.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Long An (7),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Long An (7),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Long An (7),,,,,,,,,,,,
- VND,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Long An (7) > - VND,- VND,126.609.600.000,126.609.600.000,370.586.800.000,243.977.200.000,-,-,126609600000.0,126609600000.0,370586800000.0,243977200000.0,,
- USD,- USD,- USD,-,-,,,-,-,,,,,,
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,,,,,,,,,,,,
Quỹ Phát triển Khoa học và Công nghệ tinh Tiến Giang,Nợ dài hạn đến hạn trả > Quỹ Phát triển Khoa học và Công nghệ tinh Tiến Giang,Quỹ Phát triển Khoa học và Công nghệ tinh Tiến Giang,-,-,-,860.000.000,860.000.000,860.000.000,,,,860000000.0,860000000.0,860000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,-,-,-,909.900.000,909.900.000,909.900.000,,,,909900000.0,909900000.0,909900000.0
Vay dài hạn,Nợ dài hạn đến hạn trả > Vay dài hạn,Vay dài hạn,-,-,-,909.900.000,909.900.000,909.900.000,,,,909900000.0,909900000.0,909900000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,-,-,-,909.900.000,909.900.000,909.900.000,,,,909900000.0,909900000.0,909900000.0
Tổng,Nợ dài hạn đến hạn trả > Tổng,Tổng,1.973.557.646.496,1.973.557.646.496,7.395.806.575.013,6.339.474.525.456,917.225.596.939,917.225.596.939,1973557646496.0,1973557646496.0,7395806575013.0,6339474525456.0,917225596939.0,917225596939.0
