row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,31/12/2025 VND,01/01/2025 VND,numeric__Mối quan hệ,numeric__31/12/2025 VND,numeric__01/01/2025 VND
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,77.103.560.479,70.842.623.359,,77103560479.0,70842623359.0
Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty con,25.815.229.715,25.965.229.715,,25815229715.0,25965229715.0
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty con,24.361.723.614,24.361.723.614,,24361723614.0,24361723614.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,17.298.568.750,17.298.568.750,,17298568750.0,17298568750.0
Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty con,1.318.163.200,1.318.163.200,,1318163200.0,1318163200.0
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,4.704.000.000,-,,4704000000.0,
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,3.605.875.200,1.898.938.080,,3605875200.0,1898938080.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,19.749.278.088,14.780.800.000,,19749278088.0,14780800000.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,9.500.000.000,9.500.000.000,,9500000000.0,9500000000.0
Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty con,66.170.088,-,,66170088.0,
Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty con,6.173.000.000,-,,6173000000.0,
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,4.010.108.000,5.280.800.000,,4010108000.0,5280800000.0
Phải thu khác,Phải thu khác,Phải thu khác,,147.674.161.692,147.556.457.790,,147674161692.0,147556457790.0
Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty con,88.280.243.917,88.280.243.917,,88280243917.0,88280243917.0
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty con,27.798.201.920,27.689.374.920,,27798201920.0,27689374920.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,28.000.000.000,28.000.000.000,,28000000000.0,28000000000.0
Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty con,8.876.902,-,,8876902.0,
Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Công ty con,3.586.838.953,3.586.838.953,,3586838953.0,3586838953.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,,3.021.491.592,2.886.978.800,,3021491592.0,2886978800.0
Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty con,1.158.174.234,1.577.400.804,,1158174234.0,1577400804.0
Công ty Cổ Phần Lương thực Bình Định,Công ty Cổ Phần Lương thực Bình Định,Công ty Cổ Phần Lương thực Bình Định,Công ty con,1.060.000.000,-,,1060000000.0,
Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty con,647.917.358,1.309.577.996,,647917358.0,1309577996.0
Công Ty Cổ Phần Sài Gòn Lương Thực,Công Ty Cổ Phần Sài Gòn Lương Thực,Công Ty Cổ Phần Sài Gòn Lương Thực,Công ty con,155.400.000,-,,155400000.0,
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,75.446.374.849,73.226.957.750,,75446374849.0,73226957750.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,73.226.957.750,73.226.957.750,,73226957750.0,73226957750.0
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,2.219.417.099,-,,2219417099.0,
