row_label_raw,row_label_full,31/12/2025 (VND) > Giá trị ghi số,31/12/2025 (VND) > Dự phòng,01/01/2025 (VND) > Giá trị ghi số,01/01/2025 (VND) > Dự phòng,numeric__31/12/2025 (VND) > Dự phòng,numeric__01/01/2025 (VND) > Giá trị ghi số,numeric__01/01/2025 (VND) > Dự phòng
216.121.150.261,216.121.150.261,216.121.150.261,(143.155.988.857),219.311.727.868,(143.745.993.672),-143155988857.0,219311727868.0,-143745993672.0
4.544.857.219,4.544.857.219,4.544.857.219,-,4.544.857.219,-,,4544857219.0,
209.709.272.079,209.709.272.079,209.709.272.079,(143.042.288.857),212.384.885.872,(143.677.793.672),-143042288857.0,212384885872.0,-143677793672.0
88.280.243.917,88.280.243.917,88.280.243.917,(88.280.243.917),88.280.243.917,(88.280.243.917),-88280243917.0,88280243917.0,-88280243917.0
27.798.201.920,27.798.201.920,27.798.201.920,-,27.689.374.920,-,,27689374920.0,
28.000.000.000,28.000.000.000,28.000.000.000,(28.000.000.000),28.000.000.000,(28.000.000.000),-28000000000.0,28000000000.0,-28000000000.0
27.877.394.336,27.877.394.336,27.877.394.336,-,27.877.394.336,-,,27877394336.0,
37.753.431.906,37.753.431.906,37.753.431.906,(26.762.044.940),40.537.872.699,(27.397.549.755),-26762044940.0,40537872699.0,-27397549755.0
1.531.300.963,1.531.300.963,1.531.300.963,-,2.098.784.777,-,,2098784777.0,
335.720.000,335.720.000,335.720.000,(113.700.000),283.200.000,(68.200.000),-113700000.0,283200000.0,-68200000.0
1.295.000.000,1.295.000.000,1.295.000.000,-,159.066.534,(45.000.000),,159066534.0,-45000000.0
-,-,-,-,108.566.534,-,,108566534.0,
1.295.000.000,1.295.000.000,1.295.000.000,-,50.500.000,(45.000.000),,50500000.0,-45000000.0
217.416.150.261,217.416.150.261,217.416.150.261,(143.155.988.857),219.470.794.402,(143.790.993.672),-143155988857.0,219470794402.0,-143790993672.0
147.674.161.692,147.674.161.692,147.674.161.692,(143.155.988.857),147.556.457.790,(143.790.993.672),-143155988857.0,147556457790.0,-143790993672.0
